Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Copenhagen,0,0,0.01,1.225,2,2.922733828
Copenhagen,0,0,0.07,1.225,2,1.114779505
Copenhagen,0,0,0.13,1.225,2,0.975706227
Copenhagen,0,0,0.19,1.225,2,0.924468793
Copenhagen,0,0,0.03,1.225,2,1.516547069
Copenhagen,0,0,0.09,1.225,2,1.047818276
Copenhagen,0,0,0.25,1.225,2,0.897825396
Copenhagen,0,0,0.15,1.225,2,0.954072631
Copenhagen,0,0,0.31,1.225,2,0.881495628
Copenhagen,0,0,0.05,1.225,2,1.235309755
Copenhagen,0,0,0.21,1.225,2,0.913896008
Copenhagen,0,0.002,0.01,1.225,2,2.966496675
Copenhagen,0,0,0.11,1.225,2,1.005206602
Copenhagen,0,0,0.27,1.225,2,0.891575725
Copenhagen,0,0,0.17,1.225,2,0.937529304
Copenhagen,0,0,0.23,1.225,2,0.905161976
Copenhagen,0,0,0.33,1.225,2,0.87737196
Copenhagen,0,0,0.29,1.225,2,0.886188083
Copenhagen,0,0.002,0.03,1.225,2,1.539254719
Copenhagen,0,0.002,0.07,1.225,2,1.131471385
Copenhagen,0,0.002,0.13,1.225,2,0.990315727
Copenhagen,0,0,0.35,1.225,2,0.873719575
Copenhagen,0,0.002,0.05,1.225,2,1.253806366
Copenhagen,0,0.002,0.19,1.225,2,0.938311103
Copenhagen,0,0.002,0.09,1.225,2,1.063507529
Copenhagen,0,0.002,0.25,1.225,2,0.911268767
Copenhagen,0,0.002,0.15,1.225,2,0.968358206
Copenhagen,0,0.002,0.31,1.225,2,0.894694489
Copenhagen,0,0.002,0.21,1.225,2,0.927580008
Copenhagen,0,0.002,0.11,1.225,2,1.020257819
Copenhagen,0,0.002,0.27,1.225,2,0.904925518
Copenhagen,0,0.004,0.01,1.225,2,3.011589988
Copenhagen,0,0.002,0.33,1.225,2,0.890509077
Copenhagen,0,0.004,0.07,1.225,2,1.148670728
Copenhagen,0,0.002,0.17,1.225,2,0.951567172
Copenhagen,0,0.002,0.23,1.225,2,0.918715199
Copenhagen,0,0.004,0.03,1.225,2,1.56265272
Copenhagen,0,0.002,0.29,1.225,2,0.899457206
Copenhagen,0,0.004,0.09,1.225,2,1.079673762
Copenhagen,0,0.004,0.13,1.225,2,1.005369382
Copenhagen,0,0.002,0.35,1.225,2,0.886802003
Copenhagen,0,0.004,0.05,1.225,2,1.272865306
Copenhagen,0,0.004,0.19,1.225,2,0.952574242
Copenhagen,0,0.004,0.15,1.225,2,0.983078088
Copenhagen,0,0.004,0.11,1.225,2,1.03576662
Copenhagen,0,0.004,0.25,1.225,2,0.92512084
Copenhagen,0,0.004,0.31,1.225,2,0.908294618
Copenhagen,0,0.004,0.21,1.225,2,0.941680026
Copenhagen,0,0.004,0.17,1.225,2,0.966031815
Copenhagen,0,0.006,0.01,1.225,2,3.058075376
Copenhagen,0,0.004,0.27,1.225,2,0.918681168
Copenhagen,0,0.006,0.07,1.225,2,1.166401032
Copenhagen,0,0.004,0.33,1.225,2,0.904045584
Copenhagen,0,0.006,0.13,1.225,2,1.020887758
Copenhagen,0,0.004,0.23,1.225,2,0.932680464
Copenhagen,0,0.006,0.03,1.225,2,1.586773042
Copenhagen,0,0.004,0.29,1.225,2,0.913129733
Copenhagen,0,0.006,0.09,1.225,2,1.096339063
Copenhagen,0,0.004,0.35,1.225,2,0.90028216
Copenhagen,0,0.006,0.19,1.225,2,0.967277699
Copenhagen,0,0.006,0.15,1.225,2,0.998252387
Copenhagen,0,0.006,0.05,1.225,2,1.292512615
Copenhagen,0,0.006,0.11,1.225,2,1.051754192
Copenhagen,0,0.006,0.25,1.225,2,0.93940054
Copenhagen,0,0.006,0.21,1.225,2,0.956215325
Copenhagen,0,0.006,0.17,1.225,2,0.980942997
Copenhagen,0,0.006,0.31,1.225,2,0.922314597
Copenhagen,0,0.006,0.27,1.225,2,0.932861468
Copenhagen,0,0.008,0.01,1.225,2,3.106018312
Copenhagen,0,0.006,0.23,1.225,2,0.947076851
Copenhagen,0,0.008,0.07,1.225,2,1.184687268
Copenhagen,0,0.006,0.33,1.225,2,0.917999977
Copenhagen,0,0.008,0.13,1.225,2,1.036892713
Copenhagen,0,0.006,0.29,1.225,2,0.927224344
Copenhagen,0,0.008,0.03,1.225,2,1.611649655
Copenhagen,0,0.008,0.19,1.225,2,0.982442183
Copenhagen,0,0.006,0.35,1.225,2,0.914178462
Copenhagen,0,0.008,0.09,1.225,2,1.113526904
Copenhagen,0,0.008,0.15,1.225,2,1.013902475
Copenhagen,0,0.008,0.25,1.225,2,0.95412798
Copenhagen,0,0.008,0.05,1.225,2,1.312775964
Copenhagen,0,0.008,0.21,1.225,2,0.971206378
