"Location","Latitude","Longitude","Panel Type","Burn-in","Long-Term Degredation","Initial PCE","Module Cost","Panel Lifetime","LCOE"
"Durham","54.775706","-1.575752","1","0","0","0.01","0.049","2","2.236347406"
"Durham","54.775706","-1.575752","4","0","0","0.07","0.049","2","0.362371327"
"Durham","54.775706","-1.575752","7","0","0","0.13","0.049","2","0.218219468"
"Durham","54.775706","-1.575752","10","0","0","0.19","0.049","2","0.165110989"
"Durham","54.775706","-1.575752","2","0","0","0.03","0.049","2","0.778810385"
"Durham","54.775706","-1.575752","5","0","0","0.09","0.049","2","0.292964853"
"Durham","54.775706","-1.575752","13","0","0","0.25","0.049","2","0.137494656"
"Durham","54.775706","-1.575752","8","0","0","0.15","0.049","2","0.195795873"
"Durham","54.775706","-1.575752","16","0","0","0.31","0.049","2","0.120568578"
"Durham","54.775706","-1.575752","3","0","0","0.05","0.049","2","0.487303023"
"Durham","54.775706","-1.575752","11","0","0","0.21","0.049","2","0.154152116"
"Durham","54.775706","-1.575752","19","0","0.002","0.01","0.049","2","2.26443537"
"Durham","54.775706","-1.575752","6","0","0","0.11","0.049","2","0.248797115"
"Durham","54.775706","-1.575752","14","0","0","0.27","0.049","2","0.131016766"
"Durham","54.775706","-1.575752","9","0","0","0.17","0.049","2","0.178648432"
"Durham","54.775706","-1.575752","12","0","0","0.23","0.049","2","0.145099144"
"Durham","54.775706","-1.575752","17","0","0","0.33","0.049","2","0.116294329"
"Durham","54.775706","-1.575752","20","0","0.002","0.03","0.049","2","0.788592048"
"Durham","54.775706","-1.575752","15","0","0","0.29","0.049","2","0.125432386"
"Durham","54.775706","-1.575752","22","0","0.002","0.07","0.049","2","0.36692262"
"Durham","54.775706","-1.575752","18","0","0","0.35","0.049","2","0.112508571"
"Durham","54.775706","-1.575752","25","0","0.002","0.13","0.049","2","0.22096025"
"Durham","54.775706","-1.575752","21","0","0.002","0.05","0.049","2","0.493423427"
"Durham","54.775706","-1.575752","28","0","0.002","0.19","0.049","2","0.167184741"
"Durham","54.775706","-1.575752","23","0","0.002","0.09","0.049","2","0.296644418"
"Durham","54.775706","-1.575752","31","0","0.002","0.25","0.049","2","0.139221554"
"Durham","54.775706","-1.575752","26","0","0.002","0.15","0.049","2","0.198255021"
"Durham","54.775706","-1.575752","34","0","0.002","0.31","0.049","2","0.122082889"
"Durham","54.775706","-1.575752","29","0","0.002","0.21","0.049","2","0.156088228"
"Durham","54.775706","-1.575752","37","0","0.004","0.01","0.049","2","2.293237863"
"Durham","54.775706","-1.575752","24","0","0.002","0.11","0.049","2","0.251921945"
"Durham","54.775706","-1.575752","32","0","0.002","0.27","0.049","2","0.132662304"
"Durham","54.775706","-1.575752","40","0","0.004","0.07","0.049","2","0.371589693"
"Durham","54.775706","-1.575752","35","0","0.002","0.33","0.049","2","0.117754957"
"Durham","54.775706","-1.575752","27","0","0.002","0.17","0.049","2","0.180892211"
"Durham","54.775706","-1.575752","30","0","0.002","0.23","0.049","2","0.146921553"
"Durham","54.775706","-1.575752","38","0","0.004","0.03","0.049","2","0.798622547"
"Durham","54.775706","-1.575752","41","0","0.004","0.09","0.049","2","0.300417587"
"Durham","54.775706","-1.575752","33","0","0.002","0.29","0.049","2","0.127007786"
"Durham","54.775706","-1.575752","36","0","0.002","0.35","0.049","2","0.113921651"
"Durham","54.775706","-1.575752","43","0","0.004","0.13","0.049","2","0.223770754"
"Durham","54.775706","-1.575752","39","0","0.004","0.05","0.049","2","0.499699528"
"Durham","54.775706","-1.575752","46","0","0.004","0.19","0.049","2","0.169311248"
"Durham","54.775706","-1.575752","42","0","0.004","0.11","0.049","2","0.255126267"
"Durham","54.775706","-1.575752","44","0","0.004","0.15","0.049","2","0.200776726"
"Durham","54.775706","-1.575752","49","0","0.004","0.25","0.049","2","0.140992383"
"Durham","54.775706","-1.575752","47","0","0.004","0.21","0.049","2","0.158073593"
"Durham","54.775706","-1.575752","52","0","0.004","0.31","0.049","2","0.123635723"
"Durham","54.775706","-1.575752","55","0","0.006","0.01","0.049","2","2.322782503"
"Durham","54.775706","-1.575752","45","0","0.004","0.17","0.049","2","0.18319307"
"Durham","54.775706","-1.575752","50","0","0.004","0.27","0.049","2","0.134349703"
"Durham","54.775706","-1.575752","58","0","0.006","0.07","0.049","2","0.376377022"
"Durham","54.775706","-1.575752","53","0","0.004","0.33","0.049","2","0.119252741"
"Durham","54.775706","-1.575752","48","0","0.004","0.23","0.049","2","0.148790322"
"Durham","54.775706","-1.575752","61","0","0.006","0.13","0.049","2","0.226653676"
"Durham","54.775706","-1.575752","56","0","0.006","0.03","0.049","2","0.8089115"
"Durham","54.775706","-1.575752","51","0","0.004","0.29","0.049","2","0.128623262"
"Durham","54.775706","-1.575752","59","0","0.006","0.09","0.049","2","0.304287979"
"Durham","54.775706","-1.575752","54","0","0.004","0.35","0.049","2","0.115370678"
"Durham","54.775706","-1.575752","62","0","0.006","0.15","0.049","2","0.203363408"
"Durham","54.775706","-1.575752","64","0","0.006","0.19","0.049","2","0.171492548"
"Durham","54.775706","-1.575752","57","0","0.006","0.05","0.049","2","0.506137343"
"Durham","54.775706","-1.575752","60","0","0.006","0.11","0.049","2","0.258413154"
"Durham","54.775706","-1.575752","67","0","0.006","0.25","0.049","2","0.142808841"
"Durham","54.775706","-1.575752","63","0","0.006","0.17","0.049","2","0.185553215"
"Durham","54.775706","-1.575752","65","0","0.006","0.21","0.049","2","0.160110114"
"Durham","54.775706","-1.575752","70","0","0.006","0.31","0.049","2","0.125228568"
"Durham","54.775706","-1.575752","68","0","0.006","0.27","0.049","2","0.13608058"
"Durham","54.775706","-1.575752","73","0","0.008","0.01","0.049","2","2.353098347"
"Durham","54.775706","-1.575752","66","0","0.006","0.23","0.049","2","0.150707243"
"Durham","54.775706","-1.575752","71","0","0.006","0.33","0.049","2","0.120789119"
"Durham","54.775706","-1.575752","76","0","0.008","0.07","0.049","2","0.381289315"
"Durham","54.775706","-1.575752","79","0","0.008","0.13","0.049","2","0.229611852"
"Durham","54.775706","-1.575752","69","0","0.006","0.29","0.049","2","0.130280363"
"Durham","54.775706","-1.575752","74","0","0.008","0.03","0.049","2","0.819469025"
"Durham","54.775706","-1.575752","82","0","0.008","0.19","0.049","2","0.173730787"
"Durham","54.775706","-1.575752","72","0","0.006","0.35","0.049","2","0.116857041"
"Durham","54.775706","-1.575752","77","0","0.008","0.09","0.049","2","0.3082594"
"Durham","54.775706","-1.575752","80","0","0.008","0.15","0.049","2","0.206017609"
"Durham","54.775706","-1.575752","75","0","0.008","0.05","0.049","2","0.512743206"
"Durham","54.775706","-1.575752","85","0","0.008","0.25","0.049","2","0.144672713"
"Durham","54.775706","-1.575752","83","0","0.008","0.21","0.049","2","0.162199795"
"Durham","54.775706","-1.575752","78","0","0.008","0.11","0.049","2","0.261785839"
"Durham","54.775706","-1.575752","81","0","0.008","0.17","0.049","2","0.187974967"
"Durham","54.775706","-1.575752","88","0","0.008","0.31","0.049","2","0.126862991"
"Durham","54.775706","-1.575752","84","0","0.008","0.23","0.049","2","0.152674202"
"Durham","54.775706","-1.575752","86","0","0.008","0.27","0.049","2","0.137856639"
"Durham","54.775706","-1.575752","91","0","0.01","0.03","0.049","2","0.830305779"
"Durham","54.775706","-1.575752","89","0","0.008","0.33","0.049","2","0.1223656"
"Durham","54.775706","-1.575752","87","0","0.008","0.29","0.049","2","0.13198072"
"Durham","54.775706","-1.575752","94","0","0.01","0.09","0.049","2","0.312335858"
"Durham","54.775706","-1.575752","92","0","0.01","0.05","0.049","2","0.519523781"
"Durham","54.775706","-1.575752","97","0","0.01","0.15","0.049","2","0.20874201"
"Durham","54.775706","-1.575752","90","0","0.008","0.35","0.049","2","0.118382203"
"Durham","54.775706","-1.575752","100","0","0.01","0.21","0.049","2","0.164344744"
"Durham","54.775706","-1.575752","95","0","0.01","0.11","0.049","2","0.265247725"
"Durham","54.775706","-1.575752","103","0","0.01","0.27","0.049","2","0.139679671"
"Durham","54.775706","-1.575752","93","0","0.01","0.07","0.049","2","0.386331529"
"Durham","54.775706","-1.575752","98","0","0.01","0.17","0.049","2","0.190460769"
"Durham","54.775706","-1.575752","106","0","0.01","0.33","0.049","2","0.123983777"
"Durham","54.775706","-1.575752","101","0","0.01","0.23","0.049","2","0.154693184"
"Durham","54.775706","-1.575752","96","0","0.01","0.13","0.049","2","0.232648265"
"Durham","54.775706","-1.575752","104","0","0.01","0.29","0.049","2","0.133726048"
"Durham","54.775706","-1.575752","99","0","0.01","0.19","0.049","2","0.176028223"
"Durham","54.775706","-1.575752","109","0","0.012","0.03","0.049","2","0.841432986"
"Durham","54.775706","-1.575752","107","0","0.01","0.35","0.049","2","0.119947703"
"Durham","54.775706","-1.575752","102","0","0.01","0.25","0.049","2","0.146585882"
"Durham","54.775706","-1.575752","105","0","0.01","0.31","0.049","2","0.128540642"
"Durham","54.775706","-1.575752","112","0","0.012","0.09","0.049","2","0.316521576"
"Durham","54.775706","-1.575752","110","0","0.012","0.05","0.049","2","0.526486094"
"Durham","54.775706","-1.575752","108","0","0.012","0.01","0.049","2","2.416167674"
"Durham","54.775706","-1.575752","115","0","0.012","0.15","0.049","2","0.211539432"
"Durham","54.775706","-1.575752","113","0","0.012","0.11","0.049","2","0.268802399"
"Durham","54.775706","-1.575752","118","0","0.012","0.21","0.049","2","0.166547183"
"Durham","54.775706","-1.575752","111","0","0.012","0.07","0.049","2","0.391508888"
"Durham","54.775706","-1.575752","121","0","0.012","0.27","0.049","2","0.141551565"
"Durham","54.775706","-1.575752","116","0","0.012","0.17","0.049","2","0.193013198"
"Durham","54.775706","-1.575752","114","0","0.012","0.13","0.049","2","0.235766063"
"Durham","54.775706","-1.575752","124","0","0.012","0.33","0.049","2","0.125645326"
"Durham","54.775706","-1.575752","119","0","0.012","0.23","0.049","2","0.156766279"
"Durham","54.775706","-1.575752","127","0","0.014","0.03","0.049","2","0.852862483"
"Durham","54.775706","-1.575752","122","0","0.012","0.29","0.049","2","0.135518156"
"Durham","54.775706","-1.575752","117","0","0.012","0.19","0.049","2","0.178387236"
"Durham","54.775706","-1.575752","125","0","0.012","0.35","0.049","2","0.121555163"
"Durham","54.775706","-1.575752","120","0","0.012","0.25","0.049","2","0.148550329"
"Durham","54.775706","-1.575752","130","0","0.014","0.09","0.049","2","0.320821007"
"Durham","54.775706","-1.575752","123","0","0.012","0.31","0.049","2","0.130263259"
"Durham","54.775706","-1.575752","128","0","0.014","0.05","0.049","2","0.533637551"
"Durham","54.775706","-1.575752","133","0","0.014","0.15","0.049","2","0.214412851"
"Durham","54.775706","-1.575752","126","0","0.014","0.01","0.049","2","2.448987378"
"Durham","54.775706","-1.575752","131","0","0.014","0.11","0.049","2","0.272453642"
"Durham","54.775706","-1.575752","136","0","0.014","0.21","0.049","2","0.168809455"
"Durham","54.775706","-1.575752","129","0","0.014","0.07","0.049","2","0.396826899"
"Durham","54.775706","-1.575752","134","0","0.014","0.17","0.049","2","0.195634968"
"Durham","54.775706","-1.575752","139","0","0.014","0.27","0.049","2","0.143474313"
"Durham","54.775706","-1.575752","132","0","0.014","0.13","0.049","2","0.238968561"
"Durham","54.775706","-1.575752","137","0","0.014","0.23","0.049","2","0.158895694"
"Durham","54.775706","-1.575752","142","0","0.014","0.33","0.049","2","0.127352013"
"Durham","54.775706","-1.575752","135","0","0.014","0.19","0.049","2","0.180810336"
"Durham","54.775706","-1.575752","145","0","0.016","0.03","0.049","2","0.864606758"
"Durham","54.775706","-1.575752","140","0","0.014","0.29","0.049","2","0.13735895"
"Durham","54.775706","-1.575752","148","0","0.016","0.09","0.049","2","0.325238847"
"Durham","54.775706","-1.575752","138","0","0.014","0.25","0.049","2","0.150568143"
"Durham","54.775706","-1.575752","143","0","0.014","0.35","0.049","2","0.123206292"
"Durham","54.775706","-1.575752","151","0","0.016","0.15","0.049","2","0.217365406"
"Durham","54.775706","-1.575752","146","0","0.016","0.05","0.049","2","0.540985964"
"Durham","54.775706","-1.575752","141","0","0.014","0.31","0.049","2","0.132032673"
"Durham","54.775706","-1.575752","154","0","0.016","0.21","0.049","2","0.171134032"
"Durham","54.775706","-1.575752","149","0","0.016","0.11","0.049","2","0.276205443"
"Durham","54.775706","-1.575752","144","0","0.016","0.01","0.049","2","2.482710965"
"Durham","54.775706","-1.575752","147","0","0.016","0.07","0.049","2","0.402291372"
"Durham","54.775706","-1.575752","152","0","0.016","0.17","0.049","2","0.198328944"
"Durham","54.775706","-1.575752","157","0","0.016","0.27","0.049","2","0.145450014"
"Durham","54.775706","-1.575752","150","0","0.016","0.13","0.049","2","0.242259259"
"Durham","54.775706","-1.575752","155","0","0.016","0.23","0.049","2","0.161083754"
"Durham","54.775706","-1.575752","160","0","0.016","0.33","0.049","2","0.129105704"
"Durham","54.775706","-1.575752","153","0","0.016","0.19","0.049","2","0.183300171"
"Durham","54.775706","-1.575752","163","0","0.018","0.03","0.049","2","0.876678997"
"Durham","54.775706","-1.575752","158","0","0.016","0.29","0.049","2","0.13925044"
"Durham","54.775706","-1.575752","156","0","0.016","0.25","0.049","2","0.15264153"
"Durham","54.775706","-1.575752","166","0","0.018","0.09","0.049","2","0.329780057"
"Durham","54.775706","-1.575752","161","0","0.016","0.35","0.049","2","0.124902894"
"Durham","54.775706","-1.575752","169","0","0.018","0.15","0.049","2","0.220400412"
"Durham","54.775706","-1.575752","159","0","0.016","0.31","0.049","2","0.133850819"
"Durham","54.775706","-1.575752","164","0","0.018","0.05","0.049","2","0.548539585"
"Durham","54.775706","-1.575752","172","0","0.018","0.21","0.049","2","0.173523524"
"Durham","54.775706","-1.575752","167","0","0.018","0.11","0.049","2","0.280062015"
"Durham","54.775706","-1.575752","162","0","0.018","0.01","0.049","2","2.517376295"
"Durham","54.775706","-1.575752","170","0","0.018","0.17","0.049","2","0.20109815"
"Durham","54.775706","-1.575752","175","0","0.018","0.27","0.049","2","0.147480888"
"Durham","54.775706","-1.575752","165","0","0.018","0.07","0.049","2","0.407908443"
"Durham","54.775706","-1.575752","173","0","0.018","0.23","0.049","2","0.163332917"
"Durham","54.775706","-1.575752","168","0","0.018","0.13","0.049","2","0.24564185"
"Durham","54.775706","-1.575752","178","0","0.018","0.33","0.049","2","0.130908367"
"Durham","54.775706","-1.575752","176","0","0.018","0.29","0.049","2","0.141194751"
"Durham","54.775706","-1.575752","171","0","0.018","0.19","0.049","2","0.185859535"
"Durham","54.775706","-1.575752","181","0.1","0","0.03","0.049","2","0.843111642"
"Durham","54.775706","-1.575752","179","0","0.018","0.35","0.049","2","0.126646875"
"Durham","54.775706","-1.575752","174","0","0.018","0.25","0.049","2","0.154772817"
"Durham","54.775706","-1.575752","184","0.1","0","0.09","0.049","2","0.317153036"
