Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Johanesberg,0,0.01,0.23,0.049,2,0.08658397
Johanesberg,0,0.01,0.29,0.049,2,0.075479662
Johanesberg,0,0.01,0.35,0.049,2,0.068182581
Johanesberg,0,0.01,0.25,0.049,2,0.082290299
Johanesberg,0,0.012,0.05,0.049,2,0.289585262
Johanesberg,0,0.012,0.11,0.049,2,0.150209751
Johanesberg,0,0.01,0.31,0.049,2,0.072733444
Johanesberg,0,0.012,0.01,0.049,2,1.311673066
Johanesberg,0,0.012,0.17,0.049,2,0.10921703
Johanesberg,0,0.01,0.27,0.049,2,0.078632732
Johanesberg,0,0.012,0.07,0.049,2,0.216579022
Johanesberg,0,0.012,0.23,0.049,2,0.089611873
Johanesberg,0,0.01,0.33,0.049,2,0.070320106
Johanesberg,0,0.012,0.13,0.049,2,0.132341118
Johanesberg,0,0.012,0.03,0.049,2,0.459933205
Johanesberg,0,0.012,0.19,0.049,2,0.10130617
Johanesberg,0,0.012,0.09,0.049,2,0.176020015
Johanesberg,0,0.012,0.29,0.049,2,0.078119239
Johanesberg,0,0.012,0.15,0.049,2,0.119237464
Johanesberg,0,0.012,0.25,0.049,2,0.085168048
Johanesberg,0,0.012,0.21,0.049,2,0.094902146
Johanesberg,0,0.012,0.35,0.049,2,0.070566974
Johanesberg,0,0.014,0.05,0.049,2,0.300079244
Johanesberg,0,0.012,0.31,0.049,2,0.075276984
Johanesberg,0,0.012,0.27,0.049,2,0.081382574
Johanesberg,0,0.014,0.11,0.049,2,0.155653048
Johanesberg,0,0.014,0.01,0.049,2,1.359205435
Johanesberg,0,0.014,0.17,0.049,2,0.113174834
Johanesberg,0,0.014,0.07,0.049,2,0.224427406
Johanesberg,0,0.014,0.23,0.049,2,0.092859225
Johanesberg,0,0.012,0.33,0.049,2,0.072779249
Johanesberg,0,0.014,0.13,0.049,2,0.137136892
Johanesberg,0,0.014,0.29,0.049,2,0.080950121
Johanesberg,0,0.014,0.19,0.049,2,0.1049773
Johanesberg,0,0.014,0.25,0.049,2,0.088254366
Johanesberg,0,0.014,0.03,0.049,2,0.476600251
Johanesberg,0,0.014,0.09,0.049,2,0.182398623
Johanesberg,0,0.014,0.15,0.049,2,0.123558387
Johanesberg,0,0.014,0.31,0.049,2,0.078004869
Johanesberg,0,0.014,0.35,0.049,2,0.073124178
Johanesberg,0,0.014,0.27,0.049,2,0.084331713
Johanesberg,0,0.014,0.21,0.049,2,0.098341207
Johanesberg,0,0.014,0.33,0.049,2,0.075416621
Johanesberg,0,0.016,0.05,0.049,2,0.311362385
Johanesberg,0,0.016,0.01,0.049,2,1.410312288
Johanesberg,0,0.016,0.11,0.049,2,0.161505686
Johanesberg,0,0.016,0.17,0.049,2,0.117430268
Johanesberg,0,0.016,0.07,0.049,2,0.232865996
Johanesberg,0,0.016,0.03,0.049,2,0.494520676
Johanesberg,0,0.016,0.23,0.049,2,0.096350782
Johanesberg,0,0.016,0.13,0.049,2,0.142293312
Johanesberg,0,0.016,0.29,0.049,2,0.083993889
Johanesberg,0,0.016,0.19,0.049,2,0.108924502
Johanesberg,0,0.016,0.09,0.049,2,0.189256909
Johanesberg,0,0.016,0.35,0.049,2,0.075873686
Johanesberg,0,0.016,0.25,0.049,2,0.091572777
Johanesberg,0,0.016,0.15,0.049,2,0.128204249
Johanesberg,0,0.016,0.31,0.049,2,0.080937894
Johanesberg,0,0.018,0.05,0.049,2,0.32352718
Johanesberg,0,0.016,0.21,0.049,2,0.10203889
Johanesberg,0,0.018,0.01,0.049,2,1.465412588
Johanesberg,0,0.016,0.27,0.049,2,0.087502631
Johanesberg,0,0.016,0.33,0.049,2,0.078252327
Johanesberg,0,0.018,0.07,0.049,2,0.241963972
Johanesberg,0,0.018,0.11,0.049,2,0.167815644
Johanesberg,0,0.018,0.03,0.049,2,0.513841388
Johanesberg,0,0.018,0.17,0.049,2,0.122018219
Johanesberg,0,0.018,0.09,0.049,2,0.196651096
Johanesberg,0,0.018,0.23,0.049,2,0.100115166
Johanesberg,0,0.018,0.13,0.049,2,0.147852651
Johanesberg,0,0.018,0.19,0.049,2,0.113180136
Johanesberg,0,0.018,0.29,0.049,2,0.087275495
Johanesberg,0,0.018,0.35,0.049,2,0.078838038
Johanesberg,0,0.018,0.25,0.049,2,0.095150486
Johanesberg,0,0.018,0.15,0.049,2,0.133213134
Johanesberg,0.1,0,0.05,0.049,2,0.261987336
Johanesberg,0,0.018,0.21,0.049,2,0.106025506
Johanesberg,0,0.018,0.31,0.049,2,0.084100103
Johanesberg,0.1,0,0.11,0.049,2,0.135894528
Johanesberg,0.1,0,0.01,0.049,2,1.186668581
Johanesberg,0,0.018,0.27,0.049,2,0.090921321
Johanesberg,0.1,0,0.07,0.049,2,0.195938704
Johanesberg,0,0.018,0.33,0.049,2,0.081309612
Johanesberg,0.1,0,0.13,0.049,2,0.119728804
Johanesberg,0.1,0,0.03,0.049,2,0.416100855
Johanesberg,0.1,0,0.17,0.049,2,0.098808477
Johanesberg,0.1,0,0.09,0.049,2,0.159245034
Johanesberg,0.1,0,0.23,0.049,2,0.081071722
Johanesberg,0.1,0,0.15,0.049,2,0.107873948
Johanesberg,0.1,0,0.19,0.049,2,0.091651534
Johanesberg,0.1,0,0.29,0.049,2,0.070674354
Johanesberg,0.1,0,0.25,0.049,2,0.077051401
Johanesberg,0.1,0,0.35,0.049,2,0.063841831
Johanesberg,0.1,0,0.21,0.049,2,0.085857824
Johanesberg,0.1,0,0.31,0.049,2,0.06810297
Johanesberg,0.1,0.002,0.05,0.049,2,0.272441148
Johanesberg,0,0,0.05,0.049,2,0.239361437
Johanesberg,0.1,0.002,0.01,0.049,2,1.234019002
Johanesberg,0,0,0.11,0.049,2,0.124158328
Johanesberg,0.1,0,0.27,0.049,2,0.073626688
Johanesberg,0.1,0,0.33,0.049,2,0.065843273
Johanesberg,0,0,0.01,0.049,2,1.084184835
Johanesberg,0,0,0.07,0.049,2,0.179016934
Johanesberg,0,0,0.17,0.049,2,0.090275124
Johanesberg,0.1,0.002,0.03,0.049,2,0.432704101
Johanesberg,0,0,0.13,0.049,2,0.109388717
Johanesberg,0,0,0.03,0.049,2,0.380165317
Johanesberg,0,0,0.09,0.049,2,0.145492223
Johanesberg,0,0,0.23,0.049,2,0.07407016
Johanesberg,0,0,0.19,0.049,2,0.083736272
Johanesberg,0,0,0.15,0.049,2,0.098557677
Johanesberg,0,0,0.29,0.049,2,0.064570735
Johanesberg,0,0,0.25,0.049,2,0.070397044
Johanesberg,0,0,0.21,0.049,2,0.078442922
Johanesberg,0,0,0.35,0.049,2,0.058328287
Johanesberg,0,0,0.31,0.049,2,0.062221423
Johanesberg,0,0.002,0.05,0.049,2,0.246486272
Johanesberg,0,0.002,0.11,0.049,2,0.127854026
Johanesberg,0,0,0.27,0.049,2,0.067268098
Johanesberg,0,0.002,0.01,0.049,2,1.116456693
Johanesberg,0,0.002,0.17,0.049,2,0.092962254
Johanesberg,0,0,0.33,0.049,2,0.060156879
Johanesberg,0,0.002,0.07,0.049,2,0.184345554
Johanesberg,0,0.002,0.13,0.049,2,0.112644782
Johanesberg,0,0.002,0.23,0.049,2,0.076274933
Johanesberg,0,0.002,0.03,0.049,2,0.391481322
Johanesberg,0,0.002,0.19,0.049,2,0.086228767
Johanesberg,0,0.002,0.09,0.049,2,0.149822947
Johanesberg,0,0.002,0.15,0.049,2,0.101491345
Johanesberg,0,0.002,0.29,0.049,2,0.066492748
Johanesberg,0,0.002,0.25,0.049,2,0.072492483
Johanesberg,0,0.002,0.21,0.049,2,0.080777855
Johanesberg,0,0.002,0.35,0.049,2,0.060064487
Johanesberg,0,0.002,0.31,0.049,2,0.064073506
Johanesberg,0,0.002,0.27,0.049,2,0.069270401
Johanesberg,0,0.004,0.05,0.049,2,0.254048276
Johanesberg,0,0.004,0.01,0.049,2,1.1507087
Johanesberg,0,0.004,0.11,0.049,2,0.131776486
Johanesberg,0,0.002,0.33,0.049,2,0.061947509
Johanesberg,0,0.004,0.17,0.049,2,0.095814262
Johanesberg,0,0.004,0.07,0.049,2,0.19000113
Johanesberg,0,0.004,0.23,0.049,2,0.078614987
Johanesberg,0,0.004,0.03,0.049,2,0.403491659
Johanesberg,0,0.004,0.29,0.049,2,0.068532693
Johanesberg,0,0.004,0.13,0.049,2,0.116100635
Johanesberg,0,0.004,0.19,0.049,2,0.088874197
Johanesberg,0,0.004,0.09,0.049,2,0.154419396
Johanesberg,0,0.004,0.35,0.049,2,0.061907218
Johanesberg,0,0.004,0.25,0.049,2,0.074716495
Johanesberg,0,0.004,0.15,0.049,2,0.10460502
Johanesberg,0,0.004,0.31,0.049,2,0.066039231
Johanesberg,0,0.004,0.21,0.049,2,0.083256055
Johanesberg,0,0.006,0.05,0.049,2,0.262088957
Johanesberg,0,0.004,0.27,0.049,2,0.071395562
Johanesberg,0,0.006,0.01,0.049,2,1.187128874
Johanesberg,0,0.004,0.33,0.049,2,0.06384801
Johanesberg,0,0.006,0.11,0.049,2,0.13594724
Johanesberg,0,0.006,0.07,0.049,2,0.196014706
Johanesberg,0,0.006,0.17,0.049,2,0.098846804
Johanesberg,0,0.006,0.03,0.049,2,0.416262255
Johanesberg,0,0.006,0.23,0.049,2,0.081103168
Johanesberg,0,0.006,0.13,0.049,2,0.119775245
Johanesberg,0,0.006,0.29,0.049,2,0.070701767
Johanesberg,0,0.006,0.09,0.049,2,0.159306803
Johanesberg,0,0.006,0.19,0.049,2,0.091687084
Johanesberg,0,0.006,0.35,0.049,2,0.063866595
Johanesberg,0,0.006,0.25,0.049,2,0.077081288
Johanesberg,0,0.006,0.15,0.049,2,0.107915791
Johanesberg,0,0.006,0.31,0.049,2,0.068129386
Johanesberg,0,0.008,0.05,0.049,2,0.270655254
Johanesberg,0,0.006,0.21,0.049,2,0.085891127
Johanesberg,0,0.008,0.01,0.049,2,1.225929813
Johanesberg,0,0.008,0.11,0.049,2,0.140390633
Johanesberg,0,0.006,0.27,0.049,2,0.073655247
Johanesberg,0,0.008,0.07,0.049,2,0.202421385
Johanesberg,0,0.006,0.33,0.049,2,0.065868813
Johanesberg,0,0.008,0.13,0.049,2,0.123690062
Johanesberg,0,0.008,0.03,0.049,2,0.429867658
Johanesberg,0,0.008,0.17,0.049,2,0.102077581
Johanesberg,0,0.008,0.23,0.049,2,0.083754
Johanesberg,0,0.008,0.09,0.049,2,0.164513696
Johanesberg,0,0.008,0.29,0.049,2,0.073012633
Johanesberg,0,0.008,0.19,0.049,2,0.094683848
Johanesberg,0,0.008,0.15,0.049,2,0.111442985
Johanesberg,0,0.008,0.25,0.049,2,0.079600666
Johanesberg,0,0.008,0.35,0.049,2,0.065954054
Johanesberg,0,0.01,0.07,0.049,2,0.209261017
Johanesberg,0,0.008,0.31,0.049,2,0.070356174
Johanesberg,0,0.01,0.13,0.049,2,0.127869434
Johanesberg,0,0.01,0.03,0.049,2,0.444392488
Johanesberg,0,0.008,0.21,0.049,2,0.088698452
Johanesberg,0,0.008,0.27,0.049,2,0.076062646
Johanesberg,0,0.01,0.09,0.049,2,0.170072462
Johanesberg,0,0.01,0.19,0.049,2,0.097883128
Johanesberg,0,0.008,0.33,0.049,2,0.068021715
Johanesberg,0,0.01,0.15,0.049,2,0.11520854
Johanesberg,0,0.01,0.05,0.049,2,0.279800444
Johanesberg,0,0.01,0.11,0.049,2,0.145134303
Johanesberg,0,0.01,0.21,0.049,2,0.091695491
Johanesberg,0.1,0.002,0.09,0.049,2,0.165599225
Johanesberg,0,0.01,0.17,0.049,2,0.105526688
Johanesberg,0.1,0.002,0.15,0.049,2,0.112178331
Johanesberg,0.1,0.002,0.07,0.049,2,0.203757045
Johanesberg,0.1,0.002,0.21,0.049,2,0.089283721
Johanesberg,0.1,0.002,0.11,0.049,2,0.141316988
Johanesberg,0.1,0.002,0.17,0.049,2,0.102751131
Johanesberg,0.1,0.002,0.27,0.049,2,0.076564538
Johanesberg,0.1,0.002,0.23,0.049,2,0.084306644
Johanesberg,0.1,0.002,0.13,0.049,2,0.124506219
Johanesberg,0.1,0.002,0.33,0.049,2,0.06847055
Johanesberg,0.1,0.002,0.19,0.049,2,0.095308611
Johanesberg,0.1,0.004,0.03,0.049,2,0.445895694
Johanesberg,0.1,0.002,0.29,0.049,2,0.0734944
Johanesberg,0.1,0.002,0.25,0.049,2,0.080125904
Johanesberg,0.1,0.004,0.09,0.049,2,0.17064775
Johanesberg,0.1,0.002,0.35,0.049,2,0.066389246
Johanesberg,0.1,0.002,0.31,0.049,2,0.070820413
Johanesberg,0.1,0.004,0.05,0.049,2,0.2807469
Johanesberg,0.1,0.004,0.15,0.049,2,0.115598245
Johanesberg,0.1,0.004,0.11,0.049,2,0.145625235
Johanesberg,0.1,0.004,0.21,0.049,2,0.092005661
Johanesberg,0.1,0.004,0.07,0.049,2,0.209968865
Johanesberg,0.1,0.004,0.01,0.049,2,1.271639806
Johanesberg,0.1,0.004,0.27,0.049,2,0.078898716
Johanesberg,0.1,0.004,0.17,0.049,2,0.105883643
Johanesberg,0.1,0.004,0.13,0.049,2,0.128301967
Johanesberg,0.1,0.004,0.23,0.049,2,0.08687685
Johanesberg,0.1,0.004,0.33,0.049,2,0.070557971
Johanesberg,0.1,0.004,0.29,0.049,2,0.07573498
Johanesberg,0.1,0.004,0.19,0.049,2,0.098214228
Johanesberg,0.1,0.004,0.25,0.049,2,0.082568655
Johanesberg,0.1,0.004,0.35,0.049,2,0.068413216
Johanesberg,0.1,0.006,0.03,0.049,2,0.459916907
Johanesberg,0.1,0.004,0.31,0.049,2,0.072979473
Johanesberg,0.1,0.006,0.09,0.049,2,0.176013778
Johanesberg,0.1,0.006,0.01,0.049,2,1.311626586
Johanesberg,0.1,0.006,0.15,0.049,2,0.119233238
Johanesberg,0.1,0.006,0.05,0.049,2,0.289575001
Johanesberg,0.1,0.006,0.21,0.049,2,0.094898783
Johanesberg,0.1,0.006,0.11,0.049,2,0.150204428
Johanesberg,0.1,0.006,0.27,0.049,2,0.08137969
Johanesberg,0.1,0.006,0.17,0.049,2,0.10921316
Johanesberg,0.1,0.006,0.07,0.049,2,0.216571347
Johanesberg,0.1,0.006,0.33,0.049,2,0.07277667
Johanesberg,0.1,0.006,0.23,0.049,2,0.089608697
Johanesberg,0.1,0.006,0.13,0.049,2,0.132336429
Johanesberg,0.1,0.008,0.03,0.049,2,0.474848545
Johanesberg,0.1,0.006,0.29,0.049,2,0.078116471
Johanesberg,0.1,0.006,0.19,0.049,2,0.10130258
Johanesberg,0.1,0.006,0.35,0.049,2,0.070564473
Johanesberg,0.1,0.008,0.05,0.049,2,0.298976327
Johanesberg,0.1,0.006,0.31,0.049,2,0.075274316
Johanesberg,0.1,0.008,0.09,0.049,2,0.181728231
