Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Madrid,0,0,0.01,0.049,2,1.070913584
Madrid,0,0,0.07,0.049,2,0.176351217
Madrid,0,0,0.13,0.049,2,0.107538808
Madrid,0,0,0.19,0.049,2,0.082186922
Madrid,0,0,0.03,0.049,2,0.375142816
Madrid,0,0,0.09,0.049,2,0.143219303
Madrid,0,0,0.25,0.049,2,0.069003983
Madrid,0,0,0.15,0.049,2,0.09683467
Madrid,0,0,0.31,0.049,2,0.060924151
Madrid,0,0,0.05,0.049,2,0.235988685
Madrid,0,0,0.21,0.049,2,0.076955592
Madrid,0,0.002,0.01,0.049,2,1.103987161
Madrid,0,0,0.11,0.049,2,0.122135369
Madrid,0,0,0.27,0.049,2,0.065911697
Madrid,0,0,0.17,0.049,2,0.088649161
Madrid,0,0,0.23,0.049,2,0.072634063
Madrid,0,0,0.33,0.049,2,0.058883796
Madrid,0,0.002,0.03,0.049,2,0.386728545
Madrid,0,0,0.29,0.049,2,0.063245938
Madrid,0,0.002,0.07,0.049,2,0.181797563
Madrid,0,0,0.35,0.049,2,0.057076628
Madrid,0,0.002,0.13,0.049,2,0.110859984
Madrid,0,0.002,0.19,0.049,2,0.084725143
Madrid,0,0.002,0.05,0.049,2,0.243276846
Madrid,0,0.002,0.09,0.049,2,0.147642419
Madrid,0,0.002,0.25,0.049,2,0.071135069
Madrid,0,0.002,0.15,0.049,2,0.099825266
Madrid,0,0.002,0.31,0.049,2,0.062805703
Madrid,0,0.002,0.21,0.049,2,0.079332251
Madrid,0,0.004,0.01,0.049,2,1.139168696
Madrid,0,0.002,0.11,0.049,2,0.125907338
Madrid,0,0.002,0.27,0.049,2,0.067947282
Madrid,0,0.004,0.07,0.049,2,0.187591034
Madrid,0,0.002,0.33,0.049,2,0.060702335
Madrid,0,0.002,0.17,0.049,2,0.091386958
Madrid,0,0.002,0.23,0.049,2,0.074877258
Madrid,0,0.004,0.03,0.049,2,0.399052696
Madrid,0,0.002,0.29,0.049,2,0.065199195
Madrid,0,0.004,0.09,0.049,2,0.152347444
Madrid,0,0.004,0.13,0.049,2,0.114392837
Madrid,0,0.002,0.35,0.049,2,0.058839355
Madrid,0,0.004,0.05,0.049,2,0.25102952
Madrid,0,0.004,0.19,0.049,2,0.087425139
Madrid,0,0.004,0.15,0.049,2,0.103006467
Madrid,0,0.004,0.11,0.049,2,0.129919716
Madrid,0,0.004,0.25,0.049,2,0.07340198
Madrid,0,0.004,0.31,0.049,2,0.064807176
Madrid,0,0.004,0.21,0.049,2,0.081860387
Madrid,0,0.004,0.17,0.049,2,0.094299251
Madrid,0,0.006,0.01,0.049,2,1.17666635
Madrid,0,0.004,0.27,0.049,2,0.070112606
Madrid,0,0.006,0.07,0.049,2,0.193765908
Madrid,0,0.004,0.33,0.049,2,0.062636779
Madrid,0,0.004,0.23,0.049,2,0.077263424
Madrid,0,0.006,0.13,0.049,2,0.11815827
Madrid,0,0.006,0.03,0.049,2,0.412188186
Madrid,0,0.004,0.29,0.049,2,0.067276943
Madrid,0,0.006,0.09,0.049,2,0.157362216
Madrid,0,0.006,0.19,0.049,2,0.090302884
Madrid,0,0.004,0.35,0.049,2,0.06071443
Madrid,0,0.006,0.15,0.049,2,0.106397099
Madrid,0,0.006,0.05,0.049,2,0.259292579
Madrid,0,0.006,0.11,0.049,2,0.134196242
Madrid,0,0.006,0.21,0.049,2,0.08455496
Madrid,0,0.006,0.25,0.049,2,0.07581813
Madrid,0,0.006,0.17,0.049,2,0.097403269
Madrid,0,0.006,0.31,0.049,2,0.066940414
Madrid,0,0.006,0.23,0.049,2,0.07980668
Madrid,0,0.006,0.27,0.049,2,0.072420481
Madrid,0,0.008,0.01,0.049,2,1.216716625
Madrid,0,0.006,0.33,0.049,2,0.064698574
Madrid,0,0.008,0.07,0.049,2,0.200361132
Madrid,0,0.008,0.13,0.049,2,0.122180031
Madrid,0,0.006,0.29,0.049,2,0.069491477
Madrid,0,0.008,0.03,0.049,2,0.426217864
Madrid,0,0.008,0.19,0.049,2,0.09337653
Madrid,0,0.006,0.35,0.049,2,0.062712948
Madrid,0,0.008,0.09,0.049,2,0.162718365
Madrid,0,0.008,0.25,0.049,2,0.078398757
Madrid,0,0.008,0.15,0.049,2,0.110018544
Madrid,0,0.008,0.05,0.049,2,0.268118138
Madrid,0,0.008,0.21,0.049,2,0.087432963
Madrid,0,0.008,0.11,0.049,2,0.138763889
Madrid,0,0.008,0.27,0.049,2,0.074885461
Madrid,0,0.008,0.17,0.049,2,0.100718591
Madrid,0,0.008,0.31,0.049,2,0.069218869
Madrid,0,0.008,0.23,0.049,2,0.082523065
Madrid,0,0.01,0.03,0.049,2,0.441236253
Madrid,0,0.008,0.29,0.049,2,0.071856763
Madrid,0,0.008,0.33,0.049,2,0.066900724
Madrid,0,0.01,0.09,0.049,2,0.168451977
Madrid,0,0.01,0.05,0.049,2,0.27756566
Madrid,0,0.01,0.15,0.049,2,0.113895203
Madrid,0,0.008,0.35,0.049,2,0.064847513
Madrid,0,0.01,0.11,0.049,2,0.143653431
Madrid,0,0.01,0.21,0.049,2,0.090513787
Madrid,0,0.01,0.27,0.049,2,0.077524157
Madrid,0,0.01,0.07,0.049,2,0.20742114
Madrid,0,0.01,0.33,0.049,2,0.069258065
Madrid,0,0.01,0.17,0.049,2,0.104267553
Madrid,0,0.01,0.13,0.049,2,0.126485217
Madrid,0,0.01,0.23,0.049,2,0.085430882
Madrid,0,0.01,0.29,0.049,2,0.074388738
Madrid,0,0.01,0.35,0.049,2,0.067132507
Madrid,0,0.012,0.03,0.049,2,0.457351687
Madrid,0,0.01,0.19,0.049,2,0.096666784
Madrid,0,0.01,0.25,0.049,2,0.081161248
Madrid,0,0.01,0.31,0.049,2,0.071657894
Madrid,0,0.012,0.09,0.049,2,0.17460441
Madrid,0,0.012,0.05,0.049,2,0.287703292
Madrid,0,0.012,0.01,0.049,2,1.305593799
Madrid,0,0.012,0.15,0.049,2,0.118055039
Madrid,0,0.012,0.11,0.049,2,0.148900138
Madrid,0,0.012,0.07,0.049,2,0.214996858
Madrid,0,0.012,0.21,0.049,2,0.093819655
Madrid,0,0.012,0.17,0.049,2,0.108075755
Madrid,0,0.012,0.27,0.049,2,0.0803556
Madrid,0,0.012,0.13,0.049,2,0.131104883
Madrid,0,0.012,0.33,0.049,2,0.071787603
Madrid,0,0.012,0.23,0.049,2,0.088551106
Madrid,0,0.012,0.19,0.049,2,0.10019738
Madrid,0,0.014,0.03,0.049,2,0.474688924
Madrid,0,0.012,0.29,0.049,2,0.077105665
Madrid,0,0.012,0.35,0.049,2,0.069584412
Madrid,0,0.014,0.09,0.049,2,0.181223295
Madrid,0,0.012,0.25,0.049,2,0.08412553
Madrid,0,0.014,0.05,0.049,2,0.298609517
Madrid,0,0.012,0.31,0.049,2,0.074275081
Madrid,0,0.014,0.15,0.049,2,0.122530257
Madrid,0,0.014,0.01,0.049,2,1.355086105
Madrid,0,0.014,0.11,0.049,2,0.154544628
Madrid,0,0.014,0.21,0.049,2,0.09737616
Madrid,0,0.014,0.07,0.049,2,0.223146935
Madrid,0,0.014,0.17,0.049,2,0.112172679
Madrid,0,0.014,0.13,0.049,2,0.136074793
Madrid,0,0.014,0.27,0.049,2,0.083401711
Madrid,0,0.014,0.23,0.049,2,0.091907891
Madrid,0,0.014,0.33,0.049,2,0.07450892
Madrid,0,0.014,0.19,0.049,2,0.103995652
Madrid,0,0.014,0.29,0.049,2,0.080028578
Madrid,0,0.016,0.03,0.049,2,0.493392389
Madrid,0,0.016,0.09,0.049,2,0.188363768
Madrid,0,0.014,0.25,0.049,2,0.087314551
Madrid,0,0.014,0.35,0.049,2,0.07222221
Madrid,0,0.016,0.15,0.049,2,0.127358135
Madrid,0,0.014,0.31,0.049,2,0.077090693
Madrid,0,0.016,0.05,0.049,2,0.310375186
Madrid,0,0.016,0.21,0.049,2,0.101212929
Madrid,0,0.016,0.11,0.049,2,0.160633921
Madrid,0,0.016,0.01,0.049,2,1.408478555
Madrid,0,0.016,0.17,0.049,2,0.116592453
Madrid,0,0.016,0.27,0.049,2,0.086687865
Madrid,0,0.016,0.07,0.049,2,0.231939263
Madrid,0,0.016,0.13,0.049,2,0.141436346
Madrid,0,0.016,0.23,0.049,2,0.095529202
Madrid,0,0.016,0.33,0.049,2,0.077444684
Madrid,0,0.016,0.19,0.049,2,0.108093238
Madrid,0,0.016,0.29,0.049,2,0.083181826
