Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Nairobi,0,0,0.01,1.225,2,1.580280584
Nairobi,0,0,0.07,1.225,2,0.666489612
Nairobi,0,0,0.13,1.225,2,0.596198082
Nairobi,0,0,0.19,1.225,2,0.57030126
Nairobi,0,0,0.03,1.225,2,0.869554233
Nairobi,0,0,0.25,1.225,2,0.556834955
Nairobi,0,0,0.09,1.225,2,0.632645529
Nairobi,0,0,0.15,1.225,2,0.58526386
Nairobi,0,0,0.31,1.225,2,0.548581449
Nairobi,0,0,0.05,1.225,2,0.727408986
Nairobi,0,0,0.21,1.225,2,0.564957482
Nairobi,0,0.002,0.01,1.225,2,1.626362482
Nairobi,0,0,0.11,1.225,2,0.611108396
Nairobi,0,0,0.27,1.225,2,0.553676201
Nairobi,0,0,0.17,1.225,2,0.576902403
Nairobi,0,0,0.33,1.225,2,0.546497237
Nairobi,0,0,0.23,1.225,2,0.560543063
Nairobi,0,0.002,0.03,1.225,2,0.894910938
Nairobi,0,0,0.29,1.225,2,0.550953142
Nairobi,0,0.002,0.07,1.225,2,0.685924835
Nairobi,0,0,0.35,1.225,2,0.544651225
Nairobi,0,0.002,0.13,1.225,2,0.613583564
Nairobi,0,0.002,0.05,1.225,2,0.748620654
Nairobi,0,0.002,0.19,1.225,2,0.586931575
Nairobi,0,0.002,0.09,1.225,2,0.651093839
Nairobi,0,0.002,0.25,1.225,2,0.573072585
Nairobi,0,0.002,0.15,1.225,2,0.602330494
Nairobi,0,0.002,0.31,1.225,2,0.564578402
Nairobi,0,0.002,0.21,1.225,2,0.58143197
Nairobi,0,0.004,0.01,1.225,2,1.675212653
Nairobi,0,0.002,0.11,1.225,2,0.628928671
Nairobi,0,0.002,0.27,1.225,2,0.56982172
Nairobi,0,0.004,0.07,1.225,2,0.706527589
Nairobi,0,0.002,0.33,1.225,2,0.562433413
Nairobi,0,0.002,0.17,1.225,2,0.593725212
Nairobi,0,0.004,0.03,1.225,2,0.921790894
Nairobi,0,0.002,0.23,1.225,2,0.576888823
Nairobi,0,0.004,0.09,1.225,2,0.670650393
Nairobi,0,0.002,0.29,1.225,2,0.567019255
Nairobi,0,0.004,0.13,1.225,2,0.632013442
Nairobi,0,0.002,0.35,1.225,2,0.56053357
Nairobi,0,0.004,0.05,1.225,2,0.771106568
Nairobi,0,0.004,0.19,1.225,2,0.604560922
Nairobi,0,0.004,0.11,1.225,2,0.647819462
Nairobi,0,0.004,0.15,1.225,2,0.620422369
Nairobi,0,0.004,0.25,1.225,2,0.590285657
Nairobi,0,0.004,0.31,1.225,2,0.581536338
Nairobi,0,0.004,0.21,1.225,2,0.598896128
Nairobi,0,0.004,0.17,1.225,2,0.611558615
Nairobi,0,0.006,0.01,1.225,2,1.727088271
Nairobi,0,0.004,0.27,1.225,2,0.586937147
Nairobi,0,0.006,0.07,1.225,2,0.728406337
Nairobi,0,0.004,0.33,1.225,2,0.579326922
Nairobi,0,0.004,0.23,1.225,2,0.594216521
Nairobi,0,0.006,0.13,1.225,2,0.651584741
Nairobi,0,0.006,0.03,1.225,2,0.950335612
Nairobi,0,0.004,0.29,1.225,2,0.584050506
Nairobi,0,0.006,0.09,1.225,2,0.691418147
Nairobi,0,0.004,0.35,1.225,2,0.577370014
Nairobi,0,0.006,0.19,1.225,2,0.62328211
Nairobi,0,0.006,0.15,1.225,2,0.639634732
Nairobi,0,0.006,0.05,1.225,2,0.794985106
Nairobi,0,0.006,0.25,1.225,2,0.608564789
Nairobi,0,0.006,0.11,1.225,2,0.667880219
Nairobi,0,0.006,0.21,1.225,2,0.617441897
Nairobi,0,0.006,0.17,1.225,2,0.630496498
Nairobi,0,0.006,0.31,1.225,2,0.599544534
Nairobi,0,0.006,0.27,1.225,2,0.605112587
Nairobi,0,0.008,0.01,1.225,2,1.78227938
Nairobi,0,0.006,0.23,1.225,2,0.612617379
Nairobi,0,0.008,0.07,1.225,2,0.751683406
Nairobi,0,0.006,0.33,1.225,2,0.597266699
Nairobi,0,0.008,0.13,1.225,2,0.672406887
Nairobi,0,0.008,0.03,1.225,2,0.980704689
Nairobi,0,0.008,0.19,1.225,2,0.643199812
Nairobi,0,0.008,0.09,1.225,2,0.713513215
Nairobi,0,0.006,0.35,1.225,2,0.595249193
Nairobi,0,0.006,0.29,1.225,2,0.602136556
Nairobi,0,0.008,0.15,1.225,2,0.660075002
Nairobi,0,0.008,0.25,1.225,2,0.628012182
Nairobi,0,0.008,0.05,1.225,2,0.820389778
Nairobi,0,0.008,0.21,1.225,2,0.637172969
Nairobi,0,0.008,0.11,1.225,2,0.689223106
Nairobi,0,0.008,0.17,1.225,2,0.650644745
Nairobi,0,0.008,0.27,1.225,2,0.624449662
Nairobi,0,0.008,0.23,1.225,2,0.632194278
Nairobi,0,0.008,0.31,1.225,2,0.618703674
