Location,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,Panel Replacement,LCOE
Paris,0.1,0.012,0.27,1.225,2,0.98721917
Paris,0.1,0.012,0.33,1.225,2,0.973741935
Paris,0.1,0.014,0.03,1.225,2,1.610410469
Paris,0.1,0.012,0.29,1.225,2,0.982107108
Paris,0.1,0.014,0.09,1.225,2,1.157160586
Paris,0.1,0.012,0.35,1.225,2,0.970276373
Paris,0.1,0.014,0.15,1.225,2,1.06651074
Paris,0.1,0.014,0.05,1.225,2,1.338460496
Paris,0.1,0.012,0.31,1.225,2,0.977654674
Paris,0.1,0.014,0.21,1.225,2,1.027660899
Paris,0.1,0.014,0.11,1.225,2,1.11595609
Paris,0.1,0.014,0.27,1.225,2,1.006077726
Paris,0.1,0.014,0.01,1.225,2,2.970160554
Paris,0.1,0.014,0.17,1.225,2,1.050513733
Paris,0.1,0.014,0.07,1.225,2,1.221910538
Paris,0.1,0.014,0.13,1.225,2,1.087429918
Paris,0.1,0.014,0.23,1.225,2,1.0192153
Paris,0.1,0.014,0.29,1.225,2,1.00086801
Paris,0.1,0.014,0.19,1.225,2,1.03788453
Paris,0.1,0.014,0.33,1.225,2,0.992343039
Paris,0.1,0.016,0.03,1.225,2,1.641772769
Paris,0.1,0.014,0.25,1.225,2,1.012121006
Paris,0.1,0.016,0.09,1.225,2,1.179695969
Paris,0.1,0.014,0.31,1.225,2,0.996330522
Paris,0.1,0.014,0.35,1.225,2,0.988811275
Paris,0.1,0.016,0.15,1.225,2,1.087280742
Paris,0.1,0.016,0.05,1.225,2,1.364526645
Paris,0.1,0.016,0.21,1.225,2,1.047674311
Paris,0.1,0.016,0.11,1.225,2,1.137689028
Paris,0.1,0.016,0.01,1.225,2,3.028003613
Paris,0.1,0.016,0.17,1.225,2,1.070972199
Paris,0.1,0.016,0.27,1.225,2,1.025670813
Paris,0.1,0.016,0.23,1.225,2,1.039064237
Paris,0.1,0.016,0.33,1.225,2,1.011668647
Paris,0.1,0.016,0.07,1.225,2,1.245706909
