,burn_in,long_term_degredation,initial_pce,module_cost,durham_two_years_lcoe,durham_five_years_lcoe,durham_ten_years_lcoe,durham_tw_five_years_lcoe,copenhagen_two_years_lcoe,copenhagen_five_years_lcoe,copenhagen_ten_years_lcoe,copenhagen_tw_five_years_lcoe,johanesberg_two_years_lcoe,johanesberg_five_years_lcoe,johanesberg_ten_years_lcoe,johanesberg_tw_five_years_lcoe,madrid_two_years_lcoe,madrid_five_years_lcoe,madrid_ten_years_lcoe,madrid_tw_five_years_lcoe,nairobi_two_years_lcoe,nairobi_five_years_lcoe,nairobi_ten_years_lcoe,nairobi_tw_five_years_lcoe,paris_two_years_lcoe,paris_five_years_lcoe,paris_ten_years_lcoe,paris_tw_five_years_lcoe
0,0.0,0.0,0.01,0.049,2.236347406,1.847664701,1.720328425,1.631607319,2.154092768,1.806026388,1.69199642,1.612546437,1.084184835,0.865496417,0.793851942,0.743933903,1.070913584,0.859201044,0.789841934,0.741516216,1.094415975,0.874400229,0.802320908,0.752099892,1.671834098,1.353469606,1.249170269,1.176500069
1,0.0,0.0,0.07,0.049,0.362371327,0.290223019,0.266586652,0.250119031,0.346138445,0.281529447,0.260363018,0.24561622,0.179016934,0.138423414,0.12512465,0.115859308,0.176351217,0.137052578,0.124178027,0.115208238,0.180625003,0.139785101,0.12640562,0.117084042,0.273966594,0.214870938,0.195510725,0.18202233
2,0.0,0.0,0.13,0.049,0.218219468,0.17041996,0.154760509,0.143850848,0.207065167,0.164260583,0.150237504,0.140467873,0.109388717,0.082494804,0.073684171,0.06754596,0.107538808,0.081502776,0.072973191,0.067030781,0.110333473,0.083276328,0.074412219,0.068236752,0.166438445,0.127286546,0.114460112,0.105524163
3,0.0,0.0,0.19,0.049,0.165110989,0.126282091,0.113561504,0.104699513,0.155827734,0.121056354,0.109665036,0.101729099,0.083736272,0.061889583,0.054732473,0.049746362,0.082186922,0.061037114,0.054108306,0.049281246,0.08443665,0.062457363,0.055256813,0.050240439,0.126822893,0.095018694,0.084599442,0.07734071
4,0.0,0.0,0.03,0.049,0.778810385,0.6363211,0.589640309,0.557116357,0.747906009,0.620306481,0.578503711,0.549378427,0.380165317,0.299995153,0.273730675,0.2554314,0.375142816,0.297529976,0.272103301,0.25438775,0.383689623,0.303032867,0.276608977,0.258198635,0.584603759,0.467892806,0.429657233,0.403017325
5,0.0,0.0,0.09,0.049,0.292964853,0.232540041,0.212744412,0.198952845,0.279177216,0.225066639,0.207339601,0.194989217,0.145492223,0.111494811,0.100356999,0.092597312,0.143219303,0.110306364,0.099523834,0.092011671,0.146780919,0.11257716,0.101371747,0.093564963,0.222193762,0.172700656,0.156486336,0.14518986
6,0.0,0.0,0.25,0.049,0.137494656,0.103330476,0.092138098,0.084340895,0.129184337,0.098590224,0.088567421,0.081585004,0.070397044,0.051174912,0.044877633,0.040490614,0.069003983,0.050395012,0.044298608,0.04005153,0.070970346,0.051631545,0.045296045,0.040882399,0.106222869,0.078239474,0.069071956,0.062685377
7,0.0,0.0,0.15,0.049,0.195795873,0.151783957,0.13736536,0.12732027,0.185431571,0.146018785,0.133106893,0.124111489,0.098557677,0.073794814,0.065682335,0.060030566,0.09683467,0.072861711,0.06500801,0.059536525,0.099399251,0.07448609,0.066324373,0.060638301,0.149711867,0.11366233,0.101852262,0.093624471
8,0.0,0.0,0.31,0.049,0.120568578,0.089263419,0.079007685,0.071863094,0.112854568,0.084820716,0.07563668,0.069238679,0.062221423,0.044607889,0.038837604,0.034817771,0.060924151,0.043872466,0.038286246,0.034394641,0.062716839,0.044996401,0.039191093,0.035146862,0.093597098,0.067955486,0.05955516,0.053703127
9,0.0,0.0,0.05,0.049,0.487303023,0.394052422,0.363502728,0.342218207,0.466668695,0.383162538,0.355805207,0.336744863,0.239361437,0.186894924,0.169706445,0.157730924,0.235988685,0.185195786,0.168555598,0.15696208,0.241544377,0.188759418,0.171466615,0.159418408,0.367157726,0.290777481,0.26575466,0.248320811
