,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
0,Copenhagen,0.0,0.0,0.01,1.225,2.922733828,2.157881017,1.907310927,1.732750523
1,Copenhagen,0.0,0.0,0.07,1.225,1.114779505,0.633384076,0.475677525,0.365820305
2,Copenhagen,0.0,0.0,0.13,1.225,0.975706227,0.516115212,0.36555201,0.260671959
3,Copenhagen,0.0,0.0,0.19,1.225,0.924468793,0.472910984,0.324979542,0.221933184
4,Copenhagen,0.0,0.0,0.03,1.225,1.516547069,0.972161111,0.793818218,0.669582512
5,Copenhagen,0.0,0.0,0.09,1.225,1.047818276,0.576921268,0.422654108,0.315193302
6,Copenhagen,0.0,0.0,0.25,1.225,0.897825396,0.450444854,0.303881928,0.20178909
7,Copenhagen,0.0,0.0,0.15,1.225,0.954072631,0.497873414,0.3484214,0.244315574
8,Copenhagen,0.0,0.0,0.31,1.225,0.881495628,0.436675345,0.290951187,0.189442765
9,Copenhagen,0.0,0.0,0.05,1.225,1.235309755,0.735017167,0.571119714,0.456948948
10,Copenhagen,0.0,0.0,0.21,1.225,0.913896008,0.463995844,0.316607464,0.213939487
11,Copenhagen,0.0,0.002,0.01,1.225,2.966496675,2.266994874,2.115646277,2.109968346
12,Copenhagen,0.0,0.0,0.11,1.225,1.005206602,0.540990408,0.388911951,0.282976136
13,Copenhagen,0.0,0.0,0.27,1.225,0.891575725,0.445175035,0.298933118,0.197063946
14,Copenhagen,0.0,0.0,0.17,1.225,0.937529304,0.483923815,0.335321533,0.231807762
15,Copenhagen,0.0,0.0,0.23,1.225,0.905161976,0.456631171,0.309691407,0.207336006
16,Copenhagen,0.0,0.0,0.33,1.225,0.87737196,0.433198208,0.287685859,0.186325017
17,Copenhagen,0.0,0.0,0.29,1.225,0.886188083,0.440632094,0.29466691,0.192990553
18,Copenhagen,0.0,0.002,0.03,1.225,1.539254719,1.021318709,0.880526889,0.815349866
19,Copenhagen,0.0,0.002,0.07,1.225,1.131471385,0.665411319,0.527635726,0.445458971
20,Copenhagen,0.0,0.002,0.13,1.225,0.990315727,0.542212722,0.405481214,0.317419948
21,Copenhagen,0.0,0.0,0.35,1.225,0.873719575,0.430118464,0.284793718,0.183563589
22,Copenhagen,0.0,0.002,0.05,1.225,1.253806366,0.772183516,0.633503054,0.556426216
23,Copenhagen,0.0,0.002,0.19,1.225,0.938311103,0.49682386,0.36047702,0.270247787
24,Copenhagen,0.0,0.002,0.09,1.225,1.063507529,0.606093454,0.468820567,0.383810527
25,Copenhagen,0.0,0.002,0.25,1.225,0.911268767,0.473221723,0.337074915,0.245718346
26,Copenhagen,0.0,0.002,0.15,1.225,0.968358206,0.523048522,0.386479429,0.297502798
27,Copenhagen,0.0,0.002,0.31,1.225,0.894694489,0.458755956,0.322731751,0.23068424
28,Copenhagen,0.0,0.002,0.21,1.225,0.927580008,0.487457923,0.35119046,0.26051387
29,Copenhagen,0.0,0.002,0.11,1.225,1.020257819,0.568345739,0.431392758,0.34457972
30,Copenhagen,0.0,0.002,0.27,1.225,0.904925518,0.467685435,0.331585548,0.239964544
31,Copenhagen,0.0,0.004,0.01,1.225,3.011589988,2.387731167,2.375075496,2.697130624
32,Copenhagen,0.0,0.002,0.33,1.225,0.890509077,0.455102996,0.319109752,0.226887762
33,Copenhagen,0.0,0.004,0.07,1.225,1.148670728,0.700849994,0.592336581,0.569421354
34,Copenhagen,0.0,0.002,0.17,1.225,0.951567172,0.508393558,0.371948665,0.282272049
35,Copenhagen,0.0,0.002,0.23,1.225,0.918715199,0.479720854,0.343518964,0.252472819
36,Copenhagen,0.0,0.004,0.03,1.225,1.56265272,1.075712407,0.988500706,1.042245537
37,Copenhagen,0.0,0.002,0.29,1.225,0.899457206,0.462912779,0.326853342,0.235004377
38,Copenhagen,0.0,0.004,0.09,1.225,1.079673762,0.638372961,0.526309267,0.490617372
39,Copenhagen,0.0,0.004,0.13,1.225,1.005369382,0.57109005,0.455202982,0.405751615
40,Copenhagen,0.0,0.002,0.35,1.225,0.886802003,0.451867524,0.315901703,0.223525175
