,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
0,Durham,0.0,0.0,0.01,0.049,2.236347406,1.847664701,1.720328425,1.631607319
1,Durham,0.0,0.0,0.07,0.049,0.362371327,0.290223019,0.266586652,0.250119031
2,Durham,0.0,0.0,0.13,0.049,0.218219468,0.17041996,0.154760509,0.143850848
3,Durham,0.0,0.0,0.19,0.049,0.165110989,0.126282091,0.113561504,0.104699513
4,Durham,0.0,0.0,0.03,0.049,0.778810385,0.6363211,0.589640309,0.557116357
5,Durham,0.0,0.0,0.09,0.049,0.292964853,0.232540041,0.212744412,0.198952845
6,Durham,0.0,0.0,0.25,0.049,0.137494656,0.103330476,0.092138098,0.084340895
7,Durham,0.0,0.0,0.15,0.049,0.195795873,0.151783957,0.13736536,0.12732027
8,Durham,0.0,0.0,0.31,0.049,0.120568578,0.089263419,0.079007685,0.071863094
9,Durham,0.0,0.0,0.05,0.049,0.487303023,0.394052422,0.363502728,0.342218207
10,Durham,0.0,0.0,0.21,0.049,0.154152116,0.117174297,0.105060143,0.096620686
11,Durham,0.0,0.002,0.01,0.049,2.26443537,1.929357333,1.885486553,1.941950561
12,Durham,0.0,0.0,0.11,0.049,0.248797115,0.195832711,0.178481187,0.166392564
13,Durham,0.0,0.0,0.27,0.049,0.131016766,0.09794678,0.087112871,0.079565432
14,Durham,0.0,0.0,0.17,0.049,0.178648432,0.137532908,0.124063199,0.114679252
15,Durham,0.0,0.0,0.23,0.049,0.145099144,0.109650477,0.098037288,0.089946882
16,Durham,0.0,0.0,0.33,0.049,0.116294329,0.085711144,0.075691937,0.068712147
17,Durham,0.0,0.002,0.03,0.049,0.788592048,0.664455396,0.64624804,0.663083825
18,Durham,0.0,0.0,0.29,0.049,0.125432386,0.093305669,0.082780785,0.075448661
19,Durham,0.0,0.002,0.07,0.049,0.36692262,0.303054938,0.292179994,0.297693438
20,Durham,0.0,0.0,0.35,0.049,0.112508571,0.08256485,0.072755138,0.065921314
21,Durham,0.0,0.002,0.13,0.049,0.22096025,0.177954907,0.169618112,0.171212296
22,Durham,0.0,0.002,0.05,0.049,0.493423427,0.411475053,0.398400384,0.407310529
23,Durham,0.0,0.002,0.19,0.049,0.167184741,0.131865527,0.124463844,0.1246141
24,Durham,0.0,0.002,0.09,0.049,0.296644418,0.242821565,0.233168691,0.236795082
25,Durham,0.0,0.002,0.25,0.049,0.139221554,0.107899129,0.100983709,0.100383129
