,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
0,Johanesberg,0.0,0.01,0.23,0.049,0.08658397,0.092320712,0.137236855,0.184536033
1,Johanesberg,0.0,0.01,0.29,0.049,0.075479662,0.079305723,0.116999249,0.156274635
2,Johanesberg,0.0,0.01,0.35,0.049,0.068182581,0.070753068,0.103700339,0.137702991
3,Johanesberg,0.0,0.01,0.25,0.049,0.082290299,0.087288242,0.129411634,0.173608272
4,Johanesberg,0.0,0.012,0.05,0.049,0.289585262,0.367299531,0.565531983,0.781672546
5,Johanesberg,0.0,0.012,0.11,0.049,0.150209751,0.185440082,0.281908077,0.385527558
6,Johanesberg,0.0,0.01,0.31,0.049,0.072733444,0.076086975,0.111994271,0.14928529
7,Johanesberg,0.0,0.012,0.01,0.049,1.311673066,1.700936664,2.645442616,3.686738749
8,Johanesberg,0.0,0.012,0.17,0.049,0.10921703,0.131952133,0.198489492,0.26901464
9,Johanesberg,0.0,0.01,0.27,0.049,0.078632732,0.08300133,0.122745717,0.164299458
10,Johanesberg,0.0,0.012,0.07,0.049,0.216579022,0.272039786,0.416967023,0.574167944
11,Johanesberg,0.0,0.012,0.23,0.049,0.089611873,0.106371032,0.158593802,0.213291302
12,Johanesberg,0.0,0.01,0.33,0.049,0.070320106,0.073258385,0.107595969,0.143143154
13,Johanesberg,0.0,0.012,0.13,0.049,0.132341118,0.162124804,0.245546099,0.334739831
14,Johanesberg,0.0,0.012,0.03,0.049,0.459933205,0.589572347,0.912183689,1.265850148
15,Johanesberg,0.0,0.012,0.19,0.049,0.10130617,0.121629922,0.18239121,0.246529753
16,Johanesberg,0.0,0.012,0.09,0.049,0.176020015,0.219117731,0.334430978,0.458887676
17,Johanesberg,0.0,0.012,0.29,0.049,0.078119239,0.091375287,0.135206798,0.180626081
18,Johanesberg,0.0,0.012,0.15,0.049,0.119237464,0.145026949,0.218880675,0.297495536
19,Johanesberg,0.0,0.012,0.25,0.049,0.085168048,0.100572667,0.149550811,0.200660726
20,Johanesberg,0.0,0.012,0.21,0.049,0.094902146,0.113273857,0.169359287,0.22832773
21,Johanesberg,0.0,0.012,0.35,0.049,0.070566974,0.081521,0.119838297,0.159160517
22,Johanesberg,0.0,0.014,0.05,0.049,0.300079244,0.415066891,0.639034885,0.883417848
23,Johanesberg,0.0,0.012,0.31,0.049,0.075276984,0.087666677,0.129422941,0.172547624
24,Johanesberg,0.0,0.012,0.27,0.049,0.081382574,0.095633329,0.141847538,0.189901369
25,Johanesberg,0.0,0.014,0.11,0.049,0.155653048,0.209556593,0.318548024,0.435709208
26,Johanesberg,0.0,0.014,0.01,0.049,1.359205435,1.922143737,2.989274116,4.166617887
27,Johanesberg,0.0,0.014,0.17,0.049,0.113174834,0.149112528,0.22428742,0.304030551
28,Johanesberg,0.0,0.014,0.07,0.049,0.224427406,0.307418601,0.47116075,0.648903703
29,Johanesberg,0.0,0.014,0.23,0.049,0.092859225,0.120204601,0.179206438,0.241054063
30,Johanesberg,0.0,0.012,0.33,0.049,0.072779249,0.084407602,0.124340169,0.165448391
31,Johanesberg,0.0,0.014,0.13,0.049,0.137136892,0.183209159,0.277460034,0.378310768
32,Johanesberg,0.0,0.014,0.29,0.049,0.080950121,0.103258657,0.152779795,0.20413702
33,Johanesberg,0.0,0.014,0.19,0.049,0.1049773,0.137447912,0.206096825,0.27861895
34,Johanesberg,0.0,0.014,0.25,0.049,0.088254366,0.113652158,0.168988118,0.226779446
35,Johanesberg,0.0,0.014,0.03,0.049,0.476600251,0.666246321,1.030741348,1.430617743
36,Johanesberg,0.0,0.014,0.09,0.049,0.182398623,0.247614026,0.377897392,0.518618141
37,Johanesberg,0.0,0.014,0.15,0.049,0.123558387,0.163887726,0.247328871,0.336218622
38,Johanesberg,0.0,0.014,0.31,0.049,0.078004869,0.099067741,0.146244203,0.195007041
39,Johanesberg,0.0,0.014,0.35,0.049,0.073124178,0.092122819,0.135413831,0.17987742
40,Johanesberg,0.0,0.014,0.27,0.049,0.084331713,0.108070458,0.16028364,0.214619612
41,Johanesberg,0.0,0.014,0.21,0.049,0.098341207,0.12800514,0.191371126,0.258047687
42,Johanesberg,0.0,0.014,0.33,0.049,0.075416621,0.095384824,0.140500817,0.186983747
43,Johanesberg,0.0,0.016,0.05,0.049,0.311362385,0.461095575,0.709852621,0.981479143
44,Johanesberg,0.0,0.016,0.01,0.049,1.410312288,2.135299133,3.320544959,4.629121497
45,Johanesberg,0.0,0.016,0.11,0.049,0.161505686,0.232795291,0.353849461,0.484073874
46,Johanesberg,0.0,0.016,0.17,0.049,0.117430268,0.165648305,0.249142914,0.3377786
47,Johanesberg,0.0,0.016,0.07,0.049,0.232865996,0.34150967,0.523374704,0.72093342
48,Johanesberg,0.0,0.016,0.03,0.049,0.494520676,0.740129452,1.144967927,1.589419411
49,Johanesberg,0.0,0.016,0.23,0.049,0.096350782,0.133534644,0.199066065,0.267811586
50,Johanesberg,0.0,0.016,0.13,0.049,0.142293312,0.203526069,0.308208107,0.420304082
51,Johanesberg,0.0,0.016,0.29,0.049,0.083993889,0.114709486,0.169710826,0.226796671
52,Johanesberg,0.0,0.016,0.19,0.049,0.108924502,0.152690145,0.22893644,0.309546257
53,Johanesberg,0.0,0.016,0.09,0.049,0.189256909,0.275073089,0.419775916,0.576185878
54,Johanesberg,0.0,0.016,0.35,0.049,0.075873686,0.102338744,0.150420369,0.199844203
55,Johanesberg,0.0,0.016,0.25,0.049,0.091572777,0.126255571,0.187715352,0.251952456
56,Johanesberg,0.0,0.016,0.15,0.049,0.128204249,0.182061993,0.274737814,0.373539618
57,Johanesberg,0.0,0.016,0.31,0.049,0.080937894,0.110053821,0.16245096,0.216653245
58,Johanesberg,0.0,0.018,0.05,0.049,0.32352718,0.505596202,0.778310248,1.076303138
59,Johanesberg,0.0,0.016,0.21,0.049,0.10203889,0.142200221,0.212578842,0.286691539
60,Johanesberg,0.0,0.018,0.01,0.049,1.465412588,2.34137821,3.640775699,5.076356469
61,Johanesberg,0.0,0.016,0.27,0.049,0.087502631,0.12005489,0.178046246,0.238442854
62,Johanesberg,0.0,0.016,0.33,0.049,0.078252327,0.105962487,0.156071094,0.207739348
63,Johanesberg,0.0,0.018,0.07,0.049,0.241963972,0.374468985,0.573848548,0.790585218
64,Johanesberg,0.0,0.018,0.11,0.049,0.167815644,0.255262512,0.387974424,0.530841876
65,Johanesberg,0.0,0.018,0.03,0.049,0.513841388,0.811559816,1.255387732,1.742978558
66,Johanesberg,0.0,0.018,0.17,0.049,0.122018219,0.181635128,0.27317006,0.370412525
67,Johanesberg,0.0,0.018,0.09,0.049,0.196651096,0.301620567,0.460258775,0.631853131
68,Johanesberg,0.0,0.018,0.23,0.049,0.100115166,0.146422157,0.218263839,0.293685763
69,Johanesberg,0.0,0.018,0.13,0.049,0.147852651,0.223168499,0.337931454,0.460911071
70,Johanesberg,0.0,0.018,0.19,0.049,0.113180136,0.167426368,0.251014889,0.339452561
71,Johanesberg,0.0,0.018,0.29,0.049,0.087275495,0.125780171,0.186077604,0.248708259
72,Johanesberg,0.0,0.018,0.35,0.049,0.078838038,0.112215521,0.164926791,0.219151823
73,Johanesberg,0.0,0.018,0.25,0.049,0.095150486,0.138440576,0.205818473,0.276294429
74,Johanesberg,0.0,0.018,0.15,0.049,0.133213134,0.199632911,0.301233312,0.409628534
75,Johanesberg,0.1,0.0,0.05,0.049,0.261987336,0.206268936,0.187812254,0.174791422
76,Johanesberg,0.0,0.018,0.21,0.049,0.106025506,0.155924054,0.233079778,0.314389771
77,Johanesberg,0.0,0.018,0.31,0.049,0.084100103,0.120675185,0.178117603,0.237584843
78,Johanesberg,0.1,0.0,0.11,0.049,0.135894528,0.104139878,0.093621215,0.086208618
79,Johanesberg,0.1,0.0,0.01,0.049,1.186668581,0.955216021,0.878547202,0.824399313
80,Johanesberg,0.0,0.018,0.27,0.049,0.090921321,0.131641464,0.195216885,0.261479619
81,Johanesberg,0.1,0.0,0.07,0.049,0.195938704,0.152772744,0.138474072,0.128390887
82,Johanesberg,0.0,0.018,0.33,0.049,0.081309612,0.116188994,0.171122467,0.227809744
83,Johanesberg,0.1,0.0,0.13,0.049,0.119728804,0.091046429,0.081545461,0.074851869
84,Johanesberg,0.1,0.0,0.03,0.049,0.416100855,0.331093428,0.302934723,0.283059382
85,Johanesberg,0.1,0.0,0.17,0.049,0.098808477,0.07410199,0.065918038,0.060154923
86,Johanesberg,0.1,0.0,0.09,0.049,0.159245034,0.123052652,0.111063985,0.102612827
87,Johanesberg,0.1,0.0,0.23,0.049,0.081071722,0.059736095,0.052668745,0.047694511
88,Johanesberg,0.1,0.0,0.15,0.049,0.107873948,0.081444576,0.072689917,0.066523595
89,Johanesberg,0.1,0.0,0.19,0.049,0.091651534,0.068305218,0.060571825,0.05512703
90,Johanesberg,0.1,0.0,0.29,0.049,0.070674354,0.051314749,0.044901958,0.040390173
91,Johanesberg,0.1,0.0,0.25,0.049,0.077051401,0.056479836,0.049665582,0.044870162
92,Johanesberg,0.1,0.0,0.35,0.049,0.063841831,0.045780755,0.039798104,0.035590214
93,Johanesberg,0.1,0.0,0.21,0.049,0.085857824,0.0636126,0.056243945,0.051056838
94,Johanesberg,0.1,0.0,0.31,0.049,0.06810297,0.049232059,0.042981149,0.038583733
95,Johanesberg,0.1,0.002,0.05,0.049,0.272441148,0.225830567,0.225049573,0.247362628
96,Johanesberg,0.0,0.0,0.05,0.049,0.239361437,0.186894924,0.169706445,0.157730924
97,Johanesberg,0.1,0.002,0.01,0.049,1.234019002,1.045804471,1.052735741,1.166679564
98,Johanesberg,0.0,0.0,0.11,0.049,0.124158328,0.094358438,0.084595777,0.077794235
99,Johanesberg,0.1,0.0,0.27,0.049,0.073626688,0.05370599,0.047107337,0.04246424
100,Johanesberg,0.1,0.0,0.33,0.049,0.065843273,0.04740182,0.041293169,0.036996259
101,Johanesberg,0.0,0.0,0.01,0.049,1.084184835,0.865496417,0.793851942,0.743933903
102,Johanesberg,0.0,0.0,0.07,0.049,0.179016934,0.138423414,0.12512465,0.115859308
103,Johanesberg,0.0,0.0,0.17,0.049,0.090275124,0.067141887,0.059563291,0.054283508
104,Johanesberg,0.1,0.002,0.03,0.049,0.432704101,0.36249286,0.362997241,0.400582086
105,Johanesberg,0.0,0.0,0.13,0.049,0.109388717,0.082494804,0.073684171,0.06754596
106,Johanesberg,0.0,0.0,0.03,0.049,0.380165317,0.299995153,0.273730675,0.2554314
107,Johanesberg,0.0,0.0,0.09,0.049,0.145492223,0.111494811,0.100356999,0.092597312
108,Johanesberg,0.0,0.0,0.23,0.049,0.07407016,0.054125323,0.047591279,0.043039293
109,Johanesberg,0.0,0.0,0.19,0.049,0.083736272,0.061889583,0.054732473,0.049746362
110,Johanesberg,0.0,0.0,0.15,0.049,0.098557677,0.073794814,0.065682335,0.060030566
111,Johanesberg,0.0,0.0,0.29,0.049,0.064570735,0.046494961,0.04057324,0.036447895
112,Johanesberg,0.0,0.0,0.25,0.049,0.070397044,0.051174912,0.044877633,0.040490614
113,Johanesberg,0.0,0.0,0.21,0.049,0.078442922,0.057637724,0.050821816,0.046073441
114,Johanesberg,0.0,0.0,0.35,0.049,0.058328287,0.041480753,0.035961417,0.032116435
115,Johanesberg,0.0,0.0,0.31,0.049,0.062221423,0.044607889,0.038837604,0.034817771
