,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
0,Madrid,0.0,0.0,0.01,0.049,1.070913584,0.859201044,0.789841934,0.741516216
1,Madrid,0.0,0.0,0.07,0.049,0.176351217,0.137052578,0.124178027,0.115208238
2,Madrid,0.0,0.0,0.13,0.049,0.107538808,0.081502776,0.072973191,0.067030781
3,Madrid,0.0,0.0,0.19,0.049,0.082186922,0.061037114,0.054108306,0.049281246
4,Madrid,0.0,0.0,0.03,0.049,0.375142816,0.297529976,0.272103301,0.25438775
5,Madrid,0.0,0.0,0.09,0.049,0.143219303,0.110306364,0.099523834,0.092011671
6,Madrid,0.0,0.0,0.25,0.049,0.069003983,0.050395012,0.044298608,0.04005153
7,Madrid,0.0,0.0,0.15,0.049,0.09683467,0.072861711,0.06500801,0.059536525
8,Madrid,0.0,0.0,0.31,0.049,0.060924151,0.043872466,0.038286246,0.034394641
9,Madrid,0.0,0.0,0.05,0.049,0.235988685,0.185195786,0.168555598,0.15696208
10,Madrid,0.0,0.0,0.21,0.049,0.076955592,0.056814052,0.050215563,0.045618655
11,Madrid,0.0,0.002,0.01,0.049,1.103987161,0.939315006,0.949619475,1.060091387
12,Madrid,0.0,0.0,0.11,0.049,0.122135369,0.093286057,0.083834812,0.077250231
13,Madrid,0.0,0.0,0.27,0.049,0.065911697,0.047898725,0.041997576,0.037886543
14,Madrid,0.0,0.0,0.17,0.049,0.088649161,0.066253845,0.058916996,0.053805631
15,Madrid,0.0,0.0,0.23,0.049,0.072634063,0.053325441,0.046999824,0.042593041
16,Madrid,0.0,0.0,0.33,0.049,0.058883796,0.042225366,0.036767979,0.03296614
17,Madrid,0.0,0.002,0.03,0.049,0.386728545,0.325272383,0.327147221,0.363679521
18,Madrid,0.0,0.0,0.29,0.049,0.063245938,0.045746757,0.040013932,0.03602018
19,Madrid,0.0,0.002,0.07,0.049,0.181797563,0.149831688,0.149298066,0.164704773
20,Madrid,0.0,0.0,0.35,0.049,0.057076628,0.040766509,0.035423233,0.0317009
21,Madrid,0.0,0.002,0.13,0.049,0.110859984,0.08910229,0.087734976,0.095828995
22,Madrid,0.0,0.002,0.19,0.049,0.084725143,0.066728361,0.065053904,0.070453786
23,Madrid,0.0,0.002,0.05,0.049,0.243276846,0.202463884,0.202652798,0.224397181
24,Madrid,0.0,0.002,0.09,0.049,0.147642419,0.120591594,0.119656563,0.131542343
25,Madrid,0.0,0.002,0.25,0.049,0.071135069,0.055093963,0.053259797,0.057258737
26,Madrid,0.0,0.002,0.15,0.049,0.099825266,0.079655511,0.078158514,0.085115007
27,Madrid,0.0,0.002,0.31,0.049,0.062805703,0.04796324,0.046031191,0.049171497
28,Madrid,0.0,0.002,0.21,0.049,0.079332251,0.06211153,0.060373696,0.065217648
29,Madrid,0.0,0.004,0.01,0.049,1.139168696,1.035905295,1.190432742,1.617455355
30,Madrid,0.0,0.002,0.11,0.049,0.125907338,0.101984272,0.100793801,0.110438993
31,Madrid,0.0,0.002,0.27,0.049,0.067947282,0.052364917,0.050493288,0.054163614
32,Madrid,0.0,0.004,0.07,0.049,0.187591034,0.165238965,0.187158446,0.251301559
33,Madrid,0.0,0.002,0.33,0.049,0.060702335,0.04616256,0.044205793,0.047129275
34,Madrid,0.0,0.002,0.17,0.049,0.091386958,0.072431512,0.070835346,0.076921967
35,Madrid,0.0,0.002,0.23,0.049,0.074877258,0.058297633,0.056507443,0.060892149
36,Madrid,0.0,0.004,0.03,0.049,0.399052696,0.358720325,0.410108232,0.554891207
37,Madrid,0.0,0.002,0.29,0.049,0.065199195,0.050012294,0.048108371,0.051495411
38,Madrid,0.0,0.004,0.09,0.049,0.152347444,0.132992095,0.150000178,0.200703326
39,Madrid,0.0,0.004,0.13,0.049,0.114392837,0.098264728,0.109983621,0.14621298
40,Madrid,0.0,0.002,0.35,0.049,0.058839355,0.044567676,0.042589017,0.045320454
41,Madrid,0.0,0.004,0.05,0.049,0.25102952,0.223283359,0.254043365,0.342378428
42,Madrid,0.0,0.004,0.19,0.049,0.087425139,0.073590076,0.081550873,0.107496254
43,Madrid,0.0,0.004,0.15,0.049,0.103006467,0.087846532,0.097978672,0.129865901
44,Madrid,0.0,0.004,0.11,0.049,0.129919716,0.112471372,0.126354023,0.168504473
45,Madrid,0.0,0.004,0.25,0.049,0.07340198,0.060759307,0.066765907,0.087363648
46,Madrid,0.0,0.004,0.31,0.049,0.064807176,0.052895327,0.057704205,0.075024382
47,Madrid,0.0,0.004,0.21,0.049,0.081860387,0.068498494,0.075683815,0.099507113
48,Madrid,0.0,0.004,0.17,0.049,0.094299251,0.079879685,0.088798426,0.117365209
49,Madrid,0.0,0.006,0.01,0.049,1.17666635,1.154637297,1.563774525,2.181195492
50,Madrid,0.0,0.004,0.27,0.049,0.070112606,0.05774963,0.063297842,0.082641203
51,Madrid,0.0,0.006,0.07,0.049,0.193765908,0.184178103,0.245854806,0.338888999
52,Madrid,0.0,0.004,0.33,0.049,0.062636779,0.050909482,0.055415906,0.071908421
53,Madrid,0.0,0.004,0.23,0.049,0.077263424,0.064292411,0.070837122,0.092907398
54,Madrid,0.0,0.006,0.13,0.049,0.11815827,0.109527503,0.144476524,0.197173351
55,Madrid,0.0,0.006,0.03,0.049,0.412188186,0.39983565,0.538725778,0.748290329
56,Madrid,0.0,0.004,0.29,0.049,0.067276943,0.055155087,0.060308136,0.078570139
57,Madrid,0.0,0.006,0.09,0.049,0.157362216,0.148235204,0.197043015,0.270655501
58,Madrid,0.0,0.006,0.19,0.049,0.090302884,0.082024724,0.10712674,0.144962484
59,Madrid,0.0,0.004,0.35,0.049,0.06071443,0.049150595,0.053389133,0.069148577
60,Madrid,0.0,0.006,0.15,0.049,0.106397099,0.097915208,0.1287066,0.17512874
61,Madrid,0.0,0.006,0.05,0.049,0.259292579,0.248875351,0.333716075,0.461709364
62,Madrid,0.0,0.006,0.11,0.049,0.134196242,0.125362465,0.165980987,0.227234215
63,Madrid,0.0,0.006,0.21,0.049,0.08455496,0.076349562,0.099419663,0.134188845
64,Madrid,0.0,0.006,0.25,0.049,0.07581813,0.067723335,0.087704934,0.117812955
65,Madrid,0.0,0.006,0.17,0.049,0.097403269,0.089035227,0.116647259,0.158271116
66,Madrid,0.0,0.006,0.31,0.049,0.066940414,0.058958013,0.075801313,0.10117302
67,Madrid,0.0,0.006,0.23,0.049,0.07980668,0.071661392,0.093052957,0.125288897
