,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
0,Nairobi,0.0,0.0,0.01,1.225,1.580280584,1.096810559,0.938423055,0.828081926
1,Nairobi,0.0,0.0,0.07,1.225,0.666489612,0.362195431,0.262507767,0.193066076
2,Nairobi,0.0,0.0,0.13,1.225,0.596198082,0.305686658,0.210514367,0.144218786
3,Nairobi,0.0,0.0,0.19,1.225,0.57030126,0.284867694,0.19135896,0.126222473
4,Nairobi,0.0,0.0,0.03,1.225,0.869554233,0.525443197,0.412711124,0.334180669
5,Nairobi,0.0,0.0,0.25,1.225,0.556834955,0.274041875,0.181398192,0.116864433
6,Nairobi,0.0,0.0,0.09,1.225,0.632645529,0.33498749,0.237473894,0.169546997
7,Nairobi,0.0,0.0,0.15,1.225,0.58526386,0.296896421,0.20242652,0.136620335
8,Nairobi,0.0,0.0,0.31,1.225,0.548581449,0.267406731,0.17529324,0.111128896
9,Nairobi,0.0,0.0,0.05,1.225,0.727408986,0.411169749,0.307568762,0.235400442
10,Nairobi,0.0,0.0,0.21,1.225,0.564957482,0.280571728,0.187406269,0.122508959
11,Nairobi,0.0,0.002,0.01,1.225,1.626362482,1.193955885,1.118376243,1.1629247
12,Nairobi,0.0,0.0,0.11,1.225,0.611108396,0.317673357,0.221543259,0.154580321
13,Nairobi,0.0,0.0,0.27,1.225,0.553676201,0.271502495,0.179061725,0.114669347
14,Nairobi,0.0,0.0,0.17,1.225,0.576902403,0.290174481,0.196241704,0.130809761
15,Nairobi,0.0,0.0,0.33,1.225,0.546497237,0.265731197,0.173751593,0.109680535
16,Nairobi,0.0,0.0,0.23,1.225,0.560543063,0.277022892,0.184141007,0.11944128
17,Nairobi,0.0,0.002,0.03,1.225,0.894910938,0.571982092,0.49185313,0.469309789
18,Nairobi,0.0,0.0,0.29,1.225,0.550953142,0.269313378,0.177047532,0.112777034
19,Nairobi,0.0,0.002,0.07,1.225,0.685924835,0.394275349,0.312846587,0.271134173
20,Nairobi,0.0,0.0,0.35,1.225,0.544651225,0.264247156,0.172386137,0.108397704
21,Nairobi,0.0,0.002,0.13,1.225,0.613583564,0.332761553,0.250882867,0.202535019
22,Nairobi,0.0,0.002,0.05,1.225,0.748620654,0.447587359,0.366548536,0.330586841
23,Nairobi,0.0,0.002,0.19,1.225,0.586931575,0.310098637,0.228054196,0.177261726
24,Nairobi,0.0,0.002,0.09,1.225,0.651093839,0.364657581,0.283012187,0.238104932
25,Nairobi,0.0,0.002,0.25,1.225,0.573072585,0.298313968,0.216183338,0.164119674
26,Nairobi,0.0,0.002,0.15,1.225,0.602330494,0.323192757,0.241244085,0.191864062
27,Nairobi,0.0,0.002,0.31,1.225,0.564578402,0.291091144,0.208907693,0.156064918
28,Nairobi,0.0,0.002,0.21,1.225,0.58143197,0.305422175,0.223343531,0.172046618
29,Nairobi,0.0,0.004,0.01,1.225,1.675212653,1.309981961,1.383720167,1.752036343
30,Nairobi,0.0,0.002,0.11,1.225,0.628928671,0.345809922,0.264026673,0.217086339
31,Nairobi,0.0,0.002,0.27,1.225,0.56982172,0.295549672,0.213398827,0.161036983
32,Nairobi,0.0,0.004,0.07,1.225,0.706527589,0.432590183,0.387072002,0.408484681
33,Nairobi,0.0,0.002,0.33,1.225,0.562433413,0.289267206,0.207070417,0.154030898
34,Nairobi,0.0,0.002,0.17,1.225,0.593725212,0.315875451,0.23387326,0.183703928
35,Nairobi,0.0,0.004,0.03,1.225,0.921790894,0.627566086,0.608549313,0.707051632
36,Nairobi,0.0,0.002,0.23,1.225,0.576888823,0.301559016,0.219452119,0.167738493
37,Nairobi,0.0,0.004,0.09,1.225,0.670650393,0.400094223,0.350159147,0.358723565
38,Nairobi,0.0,0.002,0.29,1.225,0.567019255,0.293166664,0.21099839,0.158379497
39,Nairobi,0.0,0.004,0.13,1.225,0.632013442,0.365098607,0.310406882,0.305134729
40,Nairobi,0.0,0.002,0.35,1.225,0.56053357,0.287651723,0.20544312,0.152229343
41,Nairobi,0.0,0.004,0.05,1.225,0.771106568,0.49108294,0.453515178,0.498054741
42,Nairobi,0.0,0.004,0.19,1.225,0.604560922,0.340233358,0.282161921,0.267058551
43,Nairobi,0.0,0.004,0.11,1.225,0.647819462,0.379414989,0.326669164,0.327057423
44,Nairobi,0.0,0.004,0.15,1.225,0.620422369,0.354599937,0.29848122,0.289058104
45,Nairobi,0.0,0.004,0.25,1.225,0.590285657,0.32730348,0.267474606,0.247259031
46,Nairobi,0.0,0.004,0.31,1.225,0.581536338,0.319378758,0.258472754,0.235123914
47,Nairobi,0.0,0.004,0.21,1.225,0.598896128,0.335102447,0.276333613,0.259201587
48,Nairobi,0.0,0.004,0.17,1.225,0.611558615,0.34657155,0.289361607,0.276764229
49,Nairobi,0.0,0.006,0.01,1.225,1.727088271,1.450985637,1.795324699,2.354951595
50,Nairobi,0.0,0.004,0.27,1.225,0.586937147,0.324270556,0.264029446,0.242614717
51,Nairobi,0.0,0.006,0.07,1.225,0.728406337,0.479153272,0.502211316,0.54905348
52,Nairobi,0.0,0.004,0.33,1.225,0.579326922,0.317377574,0.25619957,0.232059506
53,Nairobi,0.0,0.004,0.23,1.225,0.594216521,0.330863875,0.271518931,0.252711062
54,Nairobi,0.0,0.006,0.13,1.225,0.651584741,0.404397046,0.402741215,0.410138477
55,Nairobi,0.0,0.006,0.03,1.225,0.950335612,0.695115966,0.789569769,0.950364058
56,Nairobi,0.0,0.004,0.29,1.225,0.584050506,0.321655972,0.261059487,0.238611008
57,Nairobi,0.0,0.006,0.09,1.225,0.691418147,0.443159516,0.454318279,0.48216844
58,Nairobi,0.0,0.004,0.35,1.225,0.577370014,0.315605101,0.254186183,0.229345324
59,Nairobi,0.0,0.006,0.19,1.225,0.62328211,0.376855354,0.366094445,0.358959427
60,Nairobi,0.0,0.006,0.15,1.225,0.639634732,0.392768321,0.387268119,0.388529522
61,Nairobi,0.0,0.006,0.05,1.225,0.794985106,0.543942064,0.588418829,0.669446619
62,Nairobi,0.0,0.006,0.25,1.225,0.608564789,0.362533731,0.347038207,0.332346444
63,Nairobi,0.0,0.006,0.11,1.225,0.667880219,0.420254413,0.423840913,0.439605264
64,Nairobi,0.0,0.006,0.21,1.225,0.617441897,0.371172163,0.358532435,0.348398703
65,Nairobi,0.0,0.006,0.17,1.225,0.630496498,0.383875776,0.375435765,0.372005047
66,Nairobi,0.0,0.006,0.31,1.225,0.599544534,0.353756009,0.335358644,0.31603536
67,Nairobi,0.0,0.006,0.27,1.225,0.605112587,0.35917435,0.342568242,0.326103918
68,Nairobi,0.0,0.008,0.01,1.225,1.78227938,1.626005405,2.24050969,2.93954904
69,Nairobi,0.0,0.006,0.23,1.225,0.612617379,0.36647736,0.352285567,0.339674642
70,Nairobi,0.0,0.008,0.07,1.225,0.751683406,0.53694936,0.626744188,0.685351509
71,Nairobi,0.0,0.006,0.33,1.225,0.597266699,0.351539422,0.332409274,0.311916421
72,Nairobi,0.0,0.008,0.13,1.225,0.672406887,0.453175942,0.502608579,0.511951994
73,Nairobi,0.0,0.008,0.03,1.225,0.980704689,0.778961755,0.985358648,1.186284151
74,Nairobi,0.0,0.008,0.19,1.225,0.643199812,0.422312135,0.456874543,0.448068165
75,Nairobi,0.0,0.008,0.09,1.225,0.713513215,0.496613991,0.566975159,0.601862806
76,Nairobi,0.0,0.006,0.35,1.225,0.595249193,0.349576164,0.32979698,0.308268226
77,Nairobi,0.0,0.006,0.29,1.225,0.602136556,0.356278337,0.338714832,0.320722442
78,Nairobi,0.0,0.008,0.15,1.225,0.660075002,0.440144545,0.483298633,0.484978793
79,Nairobi,0.0,0.008,0.25,1.225,0.628012182,0.40626302,0.433092948,0.414848727
80,Nairobi,0.0,0.008,0.05,1.225,0.820389778,0.609553061,0.734328497,0.835631259
81,Nairobi,0.0,0.008,0.21,1.225,0.637172969,0.41594343,0.447437388,0.434885828
82,Nairobi,0.0,0.008,0.11,1.225,0.689223106,0.470946045,0.528940349,0.548733671
83,Nairobi,0.0,0.008,0.17,1.225,0.650644745,0.43017937,0.468532221,0.464352253
84,Nairobi,0.0,0.008,0.27,1.225,0.624449662,0.402498426,0.42751457,0.407056545
85,Nairobi,0.0,0.008,0.23,1.225,0.632194278,0.410682334,0.43964149,0.42399609
86,Nairobi,0.0,0.008,0.31,1.225,0.618703674,0.396426517,0.418517214,0.39448855
87,Nairobi,0.0,0.008,0.29,1.225,0.621378528,0.399253092,0.422705634,0.400339161
88,Nairobi,0.0,0.01,0.03,1.225,1.013078796,0.88580921,1.174416313,1.414191458
89,Nairobi,0.0,0.008,0.33,1.225,0.616353049,0.393942563,0.414836491,0.389347117
90,Nairobi,0.0,0.01,0.09,1.225,0.737067048,0.564732792,0.675758899,0.717491875
91,Nairobi,0.0,0.01,0.15,1.225,0.681864782,0.50051763,0.576027622,0.578152263
92,Nairobi,0.0,0.01,0.05,1.225,0.847471719,0.693163319,0.875221796,0.996171606
93,Nairobi,0.0,0.01,0.21,1.225,0.658206728,0.472996933,0.533285792,0.518435505
94,Nairobi,0.0,0.008,0.35,1.225,0.614271071,0.391742494,0.41157643,0.384793289
95,Nairobi,0.0,0.01,0.11,1.225,0.711975096,0.535544064,0.630426469,0.654155641
96,Nairobi,0.0,0.01,0.27,1.225,0.645063411,0.457707725,0.509540446,0.485259698
97,Nairobi,0.0,0.01,0.33,1.225,0.636699521,0.447978284,0.494429864,0.464147959
98,Nairobi,0.0,0.01,0.17,1.225,0.672123222,0.489185567,0.558428025,0.55356298
99,Nairobi,0.0,0.01,0.07,1.225,0.776497277,0.610600823,0.746995624,0.817020314
100,Nairobi,0.0,0.01,0.13,1.225,0.694603756,0.515336498,0.599042506,0.610307519
101,Nairobi,0.0,0.01,0.23,1.225,0.653063685,0.467014191,0.52399412,0.505453645
102,Nairobi,0.0,0.01,0.29,1.225,0.641890896,0.45401724,0.503808834,0.477251779
103,Nairobi,0.0,0.01,0.35,1.225,0.634548814,0.445476439,0.490544305,0.458719255
104,Nairobi,0.0,0.01,0.19,1.225,0.664432524,0.480239211,0.544533624,0.534150414
105,Nairobi,0.0,0.012,0.03,1.225,1.047663279,1.018803949,1.356781472,1.634122562
106,Nairobi,0.0,0.01,0.31,1.225,0.639127743,0.450802954,0.498816796,0.470277157
107,Nairobi,0.0,0.012,0.09,1.225,0.762229041,0.649521355,0.780691774,0.829074206
108,Nairobi,0.0,0.01,0.25,1.225,0.648743535,0.461988695,0.516189129,0.494548903
109,Nairobi,0.0,0.012,0.01,1.225,1.903966281,2.126652195,3.085051358,4.049268806
110,Nairobi,0.0,0.012,0.15,1.225,0.705142281,0.575664976,0.665474071,0.668064888
111,Nairobi,0.0,0.012,0.05,1.225,0.876402707,0.797234346,1.011127574,1.151093431
112,Nairobi,0.0,0.012,0.11,1.225,0.736280501,0.615950253,0.728320055,0.755888099
113,Nairobi,0.0,0.012,0.21,1.225,0.680676588,0.544012343,0.616095225,0.599061146
114,Nairobi,0.0,0.012,0.17,1.225,0.695068164,0.562631525,0.645141582,0.639651548
115,Nairobi,0.0,0.012,0.07,1.225,0.80300534,0.702275978,0.862990246,0.94408103
116,Nairobi,0.0,0.012,0.27,1.225,0.667084585,0.526427624,0.588662665,0.56072593
117,Nairobi,0.0,0.012,0.13,1.225,0.718316137,0.592708738,0.692062741,0.705220839
118,Nairobi,0.0,0.012,0.23,1.225,0.675357972,0.537131355,0.605360728,0.584060384
119,Nairobi,0.0,0.012,0.33,1.225,0.658435168,0.515237411,0.571205688,0.536330953
120,Nairobi,0.0,0.012,0.19,1.225,0.687114921,0.552341971,0.629089638,0.617219994
121,Nairobi,0.0,0.014,0.03,1.225,1.08469251,1.151016848,1.532730745,1.846401544
122,Nairobi,0.0,0.012,0.29,1.225,0.663803767,0.522183052,0.582041039,0.551472642
123,Nairobi,0.0,0.012,0.25,1.225,0.67089034,0.531351336,0.596343766,0.571459767
124,Nairobi,0.0,0.012,0.35,1.225,0.656211041,0.512359942,0.566716774,0.530057992
125,Nairobi,0.0,0.014,0.09,1.225,0.789169716,0.73381147,0.881932949,0.936774224
126,Nairobi,0.0,0.014,0.05,1.225,0.907378804,0.900693569,1.142251978,1.300625019
127,Nairobi,0.0,0.014,0.15,1.225,0.730065247,0.650370552,0.751773657,0.754849158
128,Nairobi,0.0,0.012,0.31,1.225,0.660946285,0.518486175,0.57627383,0.543413346
129,Nairobi,0.0,0.014,0.01,1.225,1.971261192,2.40263351,3.485125028,4.575284833
130,Nairobi,0.0,0.014,0.21,1.225,0.704734825,0.614610272,0.695991295,0.676881557
131,Nairobi,0.0,0.014,0.11,1.225,0.762304035,0.695883756,0.822769594,0.854080952
132,Nairobi,0.0,0.014,0.07,1.225,0.831387237,0.793412201,0.974903999,1.066720889
133,Nairobi,0.0,0.014,0.17,1.225,0.719635064,0.635645716,0.728804423,0.722744813
134,Nairobi,0.0,0.014,0.27,1.225,0.690662418,0.594743537,0.665001242,0.633566445
135,Nairobi,0.0,0.014,0.13,1.225,0.743704728,0.669626129,0.781810382,0.796831814
136,Nairobi,0.0,0.014,0.23,1.225,0.699228224,0.606836321,0.683864733,0.659932137
137,Nairobi,0.0,0.014,0.19,1.225,0.711400717,0.624020858,0.71067084,0.697399312
138,Nairobi,0.0,0.014,0.33,1.225,0.681707291,0.582101141,0.645280422,0.606002464
139,Nairobi,0.0,0.014,0.29,1.225,0.68726564,0.589948137,0.657520916,0.623111119
140,Nairobi,0.0,0.016,0.03,1.225,1.124435214,1.278492125,1.702348132,2.051120802
141,Nairobi,0.0,0.016,0.09,1.225,0.818084582,0.815081192,0.979530757,1.040638805
142,Nairobi,0.0,0.014,0.25,1.225,0.694602686,0.600306212,0.673678439,0.64569465
