,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
0,Paris,0.1,0.012,0.27,1.225,0.98721917,0.646171426,0.648826268,0.560963514
1,Paris,0.1,0.012,0.33,1.225,0.973741935,0.631580215,0.62835583,0.535060096
2,Paris,0.1,0.014,0.03,1.225,1.610410469,1.398384158,1.693430371,1.842023068
3,Paris,0.1,0.012,0.29,1.225,0.982107108,0.640636819,0.641061604,0.55113806
4,Paris,0.1,0.014,0.09,1.225,1.157160586,0.875678852,0.955164656,0.9161799
5,Paris,0.1,0.012,0.35,1.225,0.970276373,0.627828206,0.623092027,0.528399251
6,Paris,0.1,0.014,0.15,1.225,1.06651074,0.771137975,0.807511794,0.731011641
7,Paris,0.1,0.014,0.05,1.225,1.338460496,1.084760913,1.250470848,1.286517043
8,Paris,0.1,0.012,0.31,1.225,0.977654674,0.635816364,0.634298846,0.542580425
9,Paris,0.1,0.014,0.21,1.225,1.027660899,0.726334874,0.744232198,0.651654084
10,Paris,0.1,0.014,0.11,1.225,1.11595609,0.828160243,0.888049676,0.832012453
11,Paris,0.1,0.014,0.27,1.225,1.006077726,0.701444365,0.709077024,0.60756676
12,Paris,0.1,0.014,0.01,1.225,2.970160554,2.966500694,3.908228458,4.619553822
13,Paris,0.1,0.014,0.17,1.225,1.050513733,0.752689621,0.781455462,0.698334963
14,Paris,0.1,0.014,0.07,1.225,1.221910538,0.950350994,1.060631119,1.048443121
15,Paris,0.1,0.014,0.13,1.225,1.087429918,0.795262769,0.841585495,0.77374273
16,Paris,0.1,0.014,0.23,1.225,1.0192153,0.716595097,0.730475805,0.634402495
17,Paris,0.1,0.014,0.29,1.225,1.00086801,0.695436333,0.700591324,0.596925035
18,Paris,0.1,0.014,0.19,1.225,1.03788453,0.738125148,0.760884699,0.672537619
19,Paris,0.1,0.014,0.33,1.225,0.992343039,0.685605035,0.686705677,0.579511361
20,Paris,0.1,0.016,0.03,1.225,1.641772769,1.519126988,1.824663753,1.968697189
21,Paris,0.1,0.014,0.25,1.225,1.012121006,0.708413696,0.718920454,0.619911186
22,Paris,0.1,0.016,0.09,1.225,1.179695969,0.951288935,1.029185702,0.979184694
23,Paris,0.1,0.014,0.31,1.225,0.996330522,0.69020354,0.693200569,0.587656456
24,Paris,0.1,0.014,0.35,1.225,0.988811275,0.681532082,0.680953072,0.572297151
25,Paris,0.1,0.016,0.15,1.225,1.087280742,0.837721525,0.870090395,0.781282595
26,Paris,0.1,0.016,0.05,1.225,1.364526645,1.178424089,1.347376821,1.374989559
27,Paris,0.1,0.016,0.21,1.225,1.047674311,0.789049921,0.80190691,0.696467696
28,Paris,0.1,0.016,0.11,1.225,1.137689028,0.899667354,0.956869607,0.889229134
29,Paris,0.1,0.016,0.01,1.225,3.028003613,3.222641816,4.211098919,4.937236011
30,Paris,0.1,0.016,0.17,1.225,1.070972199,0.817680257,0.842014813,0.746358774
31,Paris,0.1,0.016,0.27,1.225,1.025670813,0.762010253,0.764027364,0.649348531
32,Paris,0.1,0.016,0.23,1.225,1.039064237,0.778469167,0.787084457,0.678029733
33,Paris,0.1,0.016,0.33,1.225,1.011668647,0.744803282,0.739922337,0.619363789
34,Paris,0.1,0.016,0.07,1.225,1.245706909,1.032408609,1.142825351,1.120543527
35,Paris,0.1,0.016,0.13,1.225,1.108607316,0.863929363,0.906804658,0.826952259
36,Paris,0.1,0.016,0.29,1.225,1.020359639,0.755483459,0.754884061,0.637974985
37,Paris,0.1,0.016,0.19,1.225,1.058097045,0.80185822,0.819849906,0.718787372
38,Paris,0.1,0.016,0.35,1.225,1.008068102,0.740378652,0.733723931,0.611653465
39,Paris,0.1,0.016,0.25,1.225,1.031831783,0.769581347,0.774633617,0.66254187
40,Paris,0.1,0.018,0.03,1.225,1.674380875,1.631958125,1.944630997,2.082714587
41,Paris,0.1,0.018,0.09,1.225,1.203126527,1.021944655,1.096852181,1.035894325
42,Paris,0.1,0.016,0.31,1.225,1.015733784,0.749798844,0.746920555,0.628069015
43,Paris,0.1,0.018,0.01,1.225,3.088144373,3.461999252,4.487968524,5.223176786
44,Paris,0.1,0.018,0.15,1.225,1.108875793,0.899942177,0.927296742,0.826530696
45,Paris,0.1,0.018,0.05,1.225,1.391628221,1.265949971,1.4359636,1.454622288
46,Paris,0.1,0.018,0.21,1.225,1.068482718,0.847655555,0.854630357,0.736803729
47,Paris,0.1,0.018,0.11,1.225,1.160285263,0.966488951,1.019781478,0.940728975
48,Paris,0.1,0.018,0.27,1.225,1.046042196,0.818607551,0.814260322,0.68695565
49,Paris,0.1,0.018,0.17,1.225,1.092243337,0.87841237,0.897375257,0.789584256
50,Paris,0.1,0.018,0.07,1.225,1.270448544,1.109089386,1.217963364,1.185439975
51,Paris,0.1,0.018,0.33,1.225,1.031761926,0.800122556,0.788570448,0.655234337
52,Paris,0.1,0.018,0.23,1.225,1.059701634,0.836288929,0.838833363,0.717297928
53,Paris,0.2,0.0,0.03,1.225,1.534692823,0.966218917,0.773363529,0.635744687
54,Paris,0.1,0.018,0.13,1.225,1.130625945,0.928096568,0.966424879,0.874845325
55,Paris,0.1,0.018,0.29,1.225,1.040625534,0.811595989,0.804515868,0.674923403
56,Paris,0.1,0.018,0.19,1.225,1.079112462,0.861415173,0.873753061,0.760416052
57,Paris,0.1,0.018,0.35,1.225,1.028089869,0.795369292,0.781964511,0.647077468
58,Paris,0.1,0.018,0.25,1.225,1.052325533,0.826740978,0.82556391,0.700913084
59,Paris,0.2,0.0,0.05,1.225,1.275529286,0.749519728,0.571070747,0.444020701
60,Paris,0.1,0.018,0.31,1.225,1.035907803,0.805489156,0.796028781,0.664443728
61,Paris,0.2,0.0,0.09,1.225,1.102753664,0.605053673,0.436208965,0.316204782
62,Paris,0.2,0.0,0.01,1.225,2.830510714,2.049715073,1.784827651,1.59436483
63,Paris,0.2,0.0,0.15,1.225,1.016365957,0.532820752,0.36877818,0.252296931
64,Paris,0.2,0.0,0.07,1.225,1.164459229,0.656648678,0.484373872,0.361853309
65,Paris,0.2,0.0,0.11,1.225,1.063486506,0.572220508,0.405558589,0.287155739
66,Paris,0.2,0.0,0.21,1.225,0.979342743,0.501863877,0.339879365,0.224907944
67,Paris,0.2,0.0,0.27,1.225,0.958774359,0.484665684,0.323824539,0.209691912
68,Paris,0.2,0.0,0.17,1.225,1.001121092,0.520073791,0.356878656,0.2410191
69,Paris,0.2,0.0,0.33,1.225,0.945685445,0.473721438,0.31360789,0.200009042
70,Paris,0.2,0.0,0.13,1.225,1.036301566,0.549489871,0.384339114,0.26704488
71,Paris,0.2,0.0,0.23,1.225,0.971294236,0.49513414,0.333597032,0.218953835
72,Paris,0.2,0.002,0.03,1.225,1.610655449,1.035217148,0.874784179,0.795685178
73,Paris,0.2,0.0,0.29,1.225,0.953809592,0.480514411,0.319949251,0.206019092
74,Paris,0.2,0.0,0.19,1.225,0.989085683,0.510010412,0.347484305,0.232115561
75,Paris,0.2,0.002,0.09,1.225,1.157336616,0.648260893,0.493414399,0.395755504
76,Paris,0.2,0.0,0.35,1.225,0.942319736,0.470907215,0.310980764,0.197519173
77,Paris,0.2,0.0,0.25,1.225,0.964533498,0.48948117,0.328319882,0.213952392
78,Paris,0.2,0.002,0.05,1.225,1.338664105,0.80304335,0.645962263,0.555727319
79,Paris,0.2,0.0,0.31,1.225,0.949485446,0.476898793,0.316574007,0.202820191
80,Paris,0.2,0.002,0.11,1.225,1.116125852,0.613083093,0.458744463,0.359398309
81,Paris,0.2,0.002,0.01,1.225,2.970612383,2.196086369,2.018894005,1.995474741
82,Paris,0.2,0.002,0.15,1.225,1.06667298,0.570869779,0.417140589,0.31576973
83,Paris,0.2,0.002,0.07,1.225,1.222096418,0.703540326,0.547895762,0.452888276
84,Paris,0.2,0.002,0.13,1.225,1.087595341,0.588729249,0.434742219,0.334227965
85,Paris,0.2,0.002,0.21,1.225,1.027817229,0.537702256,0.384451917,0.281490229
86,Paris,0.2,0.002,0.17,1.225,1.05067354,0.55721255,0.403680533,0.301654626
87,Paris,0.2,0.002,0.27,1.225,1.006230773,0.519275931,0.366291625,0.262446152
88,Paris,0.2,0.002,0.23,1.225,1.019370346,0.530491945,0.377345705,0.274038187
89,Paris,0.2,0.002,0.33,1.225,0.992493997,0.50755015,0.354735142,0.250327267
90,Paris,0.2,0.002,0.19,1.225,1.038042415,0.54643054,0.393054186,0.290511136
91,Paris,0.2,0.002,0.29,1.225,1.001020264,0.514828213,0.361908123,0.257849324
92,Paris,0.2,0.004,0.03,1.225,1.638405974,1.096938754,0.995924274,1.026836143
93,Paris,0.2,0.004,0.09,1.225,1.177276758,0.686911435,0.561742415,0.510724676
94,Paris,0.2,0.002,0.25,1.225,1.012274972,0.524435293,0.371376497,0.267778483
95,Paris,0.2,0.002,0.35,1.225,0.988961696,0.504534962,0.351763488,0.247210998
96,Paris,0.2,0.014,0.35,1.225,1.100834053,0.758764929,0.690849161,0.535197455
97,Paris,0.2,0.002,0.31,1.225,0.996482086,0.510954401,0.358090242,0.253845644
98,Paris,0.2,0.004,0.05,1.225,1.3617284,0.850922314,0.735415103,0.717169193
99,Paris,0.2,0.014,0.31,1.225,1.109205158,0.768419058,0.703274648,0.549561079
100,Paris,0.2,0.004,0.01,1.225,3.021794064,2.327021194,2.298470403,2.575171239
101,Paris,0.2,0.016,0.05,1.225,1.51872851,1.290069711,1.338725937,1.257400479
102,Paris,0.2,0.016,0.01,1.225,3.370190997,3.527959617,4.184061399,4.515003685
103,Paris,0.2,0.004,0.07,1.225,1.243152329,0.745486731,0.623768355,0.584454836
104,Paris,0.2,0.016,0.11,1.225,1.26625652,0.984903156,0.95072599,0.813182276
105,Paris,0.2,0.014,0.33,1.225,1.104765932,0.763299439,0.696685367,0.541943997
106,Paris,0.2,0.016,0.07,1.225,1.386481242,1.130220511,1.135487798,1.024714666
107,Paris,0.2,0.016,0.03,1.225,1.82730555,1.663051301,1.81294843,1.800334245
108,Paris,0.2,0.016,0.17,1.225,1.192000184,0.89514848,0.836608625,0.682530187
109,Paris,0.2,0.016,0.13,1.225,1.233888355,0.945779295,0.900982484,0.756231318
110,Paris,0.2,0.016,0.23,1.225,1.15648638,0.852222474,0.782030951,0.620044644
111,Paris,0.2,0.016,0.09,1.225,1.313010565,1.04141544,1.022577776,0.895444838
112,Paris,0.2,0.016,0.19,1.225,1.177670039,0.877827441,0.814586028,0.65731669
113,Paris,0.2,0.016,0.29,1.225,1.13566802,0.827059068,0.750037299,0.583415377
114,Paris,0.2,0.016,0.15,1.225,1.210151716,0.917088488,0.864503947,0.714467323
115,Paris,0.2,0.016,0.25,1.225,1.148436604,0.842492609,0.769660052,0.605881303
116,Paris,0.2,0.016,0.35,1.225,1.121987447,0.810523209,0.729013028,0.559344873
117,Paris,0.2,0.016,0.21,1.225,1.166069458,0.863805665,0.796758236,0.636905793
118,Paris,0.2,0.018,0.05,1.225,1.548483848,1.364060679,1.400235501,1.304192389
119,Paris,0.2,0.016,0.31,1.225,1.130519409,0.820835883,0.742124923,0.574356565
